taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00831056,0.00971842,0.00140786,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00977302,0.012181,0.00240803,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0121996,0.0133486,0.00114894,0,depend,Tesla V100-DGXS-32GB 0
task0,Kernel,0.013366,0.288547,0.275181,1048576,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.288599,0.289876,0.00127769,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.289891,0.291196,0.00130439,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.291209,0.292443,0.00123334,0,depend,Tesla V100-DGXS-32GB 0
task1,Kernel,0.292456,0.561608,0.269152,1048576,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.561622,0.562903,0.00128055,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.562918,0.564191,0.00127316,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.564205,0.567507,0.00330257,0,depend,Tesla V100-DGXS-32GB 0
task2,Kernel,0.567521,0.83511,0.267589,1048576,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.835124,0.836423,0.00129843,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.836437,0.83777,0.00133228,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.837784,0.839119,0.00133586,0,depend,Tesla V100-DGXS-32GB 0
task3,Kernel,0.839134,1.1085,0.269362,1048576,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,1.10852,1.10955,0.00103784,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,1.10957,1.11056,0.000990629,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,1.11057,1.11161,0.00104308,0,depend,Tesla V100-DGXS-32GB 0
task4,Kernel,1.11163,1.38012,0.268495,1048576,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,1.38014,1.38139,0.00124979,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,1.3814,1.38264,0.00124288,0,depend,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,1.38266,1.38389,0.00122976,0,depend,Tesla V100-DGXS-32GB 0
task5,Kernel,1.3839,1.65416,0.270259,1048576,depend,Tesla V100-DGXS-32GB 0
task6,Kernel,1.65417,1.92491,0.270733,1048576,depend,Tesla V100-DGXS-32GB 0
task16,Kernel,1.92492,2.19288,0.267956,1048576,depend,Tesla V100-DGXS-32GB 0
task7,Kernel,2.19289,2.46363,0.270743,1048576,depend,Tesla V100-DGXS-32GB 0
task8,Kernel,2.46365,2.733,0.269341,1048576,depend,Tesla V100-DGXS-32GB 0
task10,Kernel,2.73302,3.00458,0.271559,1048576,depend,Tesla V100-DGXS-32GB 0
task12,Kernel,3.00459,3.27548,0.270892,1048576,depend,Tesla V100-DGXS-32GB 0
task19,Kernel,3.27549,3.54465,0.269153,1048576,depend,Tesla V100-DGXS-32GB 0
task20,Kernel,3.54466,3.81587,0.271211,1048576,depend,Tesla V100-DGXS-32GB 0
task9,Kernel,3.81588,4.08586,0.269982,1048576,depend,Tesla V100-DGXS-32GB 0
task11,Kernel,4.08588,4.35722,0.271345,1048576,depend,Tesla V100-DGXS-32GB 0
task13,Kernel,4.35723,4.62796,0.270729,1048576,depend,Tesla V100-DGXS-32GB 0
task18,Kernel,4.62797,4.89703,0.269057,1048576,depend,Tesla V100-DGXS-32GB 0
