taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-1,MemFlushOut,0.00899816,0.0170352,0.00803709,0,ftf,Tesla V100-DGXS-32GB 1
Internal-H2D(task0)-to-1,MemFlushOut,0.0170994,0.0185893,0.00148988,0,ftf,Tesla V100-DGXS-32GB 1
Internal-H2D(task0)-to-1,MemFlushOut,0.0186107,0.0201206,0.0015099,0,ftf,Tesla V100-DGXS-32GB 1
task0,Kernel,0.0201418,0.291157,0.271015,1048576,ftf,Tesla V100-DGXS-32GB 1
Internal-H2D(task1)-to-1,MemFlushOut,0.291208,0.293096,0.0018878,0,ftf,Tesla V100-DGXS-32GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.291573,0.293585,0.00201178,0,ftf,Tesla V100-DGXS-32GB 2
Internal-H2D(task3)-to-0,MemFlushOut,0.292334,0.294547,0.002213,0,ftf,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-1,MemFlushOut,0.293114,0.295023,0.00190854,0,ftf,Tesla V100-DGXS-32GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.293624,0.296815,0.00319123,0,ftf,Tesla V100-DGXS-32GB 2
Internal-H2D(task1)-to-1,MemFlushOut,0.29504,0.296865,0.00182486,0,ftf,Tesla V100-DGXS-32GB 1
Internal-H2D(task3)-to-0,MemFlushOut,0.294589,0.296865,0.00227547,0,ftf,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-3,MemFlushOut,0.294199,0.29739,0.00319076,0,ftf,Tesla V100-DGXS-32GB 3
Internal-H2D(task3)-to-0,MemFlushOut,0.296923,0.299329,0.00240541,0,ftf,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-2,MemFlushOut,0.296858,0.299773,0.00291514,0,ftf,Tesla V100-DGXS-32GB 2
Internal-H2D(task4)-to-3,MemFlushOut,0.297428,0.300348,0.00292039,0,ftf,Tesla V100-DGXS-32GB 3
Internal-H2D(task4)-to-3,MemFlushOut,0.300369,0.301621,0.00125289,0,ftf,Tesla V100-DGXS-32GB 3
task1,Kernel,0.296886,0.555593,0.258707,1048576,ftf,Tesla V100-DGXS-32GB 1
task2,Kernel,0.299812,0.555782,0.25597,1048576,ftf,Tesla V100-DGXS-32GB 2
Internal-H2D(task5)-to-1,MemFlushOut,0.555609,0.556693,0.00108361,0,ftf,Tesla V100-DGXS-32GB 1
Internal-D2D(task6)-from-1-to-2,MemFlushOut,0.556036,0.556767,0.000730515,0,ftf,Tesla V100-DGXS-32GB 2
Internal-H2D(task5)-to-1,MemFlushOut,0.556707,0.559874,0.00316644,0,ftf,Tesla V100-DGXS-32GB 1
Internal-D2D(task6)-from-1-to-2,MemFlushOut,0.557181,0.559941,0.00276017,0,ftf,Tesla V100-DGXS-32GB 2
task4,Kernel,0.301642,0.560642,0.259,1048576,ftf,Tesla V100-DGXS-32GB 3
Internal-D2D(task16)-from-0-to-3,MemFlushOut,0.56093,0.561007,7.72476e-05,0,ftf,Tesla V100-DGXS-32GB 3
