taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00953627,0.0116355,0.00209928,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0117176,0.0135005,0.00178289,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.01353,0.0153553,0.00182533,0,profile,Tesla V100-DGXS-32GB 0
task0,Kernel,0.0153828,0.286406,0.271023,1048576,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.286439,0.287845,0.00140595,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.28786,0.289145,0.00128484,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.289159,0.290371,0.00121284,0,profile,Tesla V100-DGXS-32GB 0
task1,Kernel,0.290385,0.557191,0.266806,1048576,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.557206,0.558482,0.00127602,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.558497,0.559756,0.00125885,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.55977,0.561052,0.00128245,0,profile,Tesla V100-DGXS-32GB 0
task2,Kernel,0.561066,0.827131,0.266065,1048576,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.827146,0.828405,0.00125933,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.828419,0.829728,0.00130844,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.829742,0.830989,0.00124669,0,profile,Tesla V100-DGXS-32GB 0
task3,Kernel,0.831002,1.09961,0.268611,1048576,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,1.09963,1.10094,0.00131607,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,1.10096,1.10227,0.00131202,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,1.10228,1.10363,0.00134301,0,profile,Tesla V100-DGXS-32GB 0
task4,Kernel,1.10364,1.37109,0.267452,1048576,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,1.37111,1.37238,0.0012691,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,1.37239,1.37363,0.00123572,0,profile,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,1.37364,1.37488,0.00123477,0,profile,Tesla V100-DGXS-32GB 0
task5,Kernel,1.37489,1.64464,0.269749,1048576,profile,Tesla V100-DGXS-32GB 0
task6,Kernel,1.64467,1.91457,0.269897,1048576,profile,Tesla V100-DGXS-32GB 0
task16,Kernel,1.91458,2.18294,0.268358,1048576,profile,Tesla V100-DGXS-32GB 0
task7,Kernel,2.18295,2.45408,0.271131,1048576,profile,Tesla V100-DGXS-32GB 0
task8,Kernel,2.4541,2.72195,0.267853,1048576,profile,Tesla V100-DGXS-32GB 0
task10,Kernel,2.72196,2.99289,0.270928,1048576,profile,Tesla V100-DGXS-32GB 0
task12,Kernel,2.9929,3.26111,0.268215,1048576,profile,Tesla V100-DGXS-32GB 0
task19,Kernel,3.26113,3.53028,0.269154,1048576,profile,Tesla V100-DGXS-32GB 0
task20,Kernel,3.53029,3.80028,0.269985,1048576,profile,Tesla V100-DGXS-32GB 0
task9,Kernel,3.80029,4.06798,0.267691,1048576,profile,Tesla V100-DGXS-32GB 0
task11,Kernel,4.068,4.33954,0.271535,1048576,profile,Tesla V100-DGXS-32GB 0
task13,Kernel,4.33955,4.60887,0.26932,1048576,profile,Tesla V100-DGXS-32GB 0
task18,Kernel,4.60888,4.87679,0.267908,1048576,profile,Tesla V100-DGXS-32GB 0
task17,Kernel,4.8768,5.14752,0.270725,1048576,profile,Tesla V100-DGXS-32GB 0
task15,Kernel,5.14753,5.41523,0.267692,1048576,profile,Tesla V100-DGXS-32GB 0
task14,Kernel,5.41524,5.686,0.270766,1048576,profile,Tesla V100-DGXS-32GB 0
task26,Kernel,5.68602,5.95693,0.270916,1048576,profile,Tesla V100-DGXS-32GB 0
task24,Kernel,5.95695,6.2258,0.268858,1048576,profile,Tesla V100-DGXS-32GB 0
task27,Kernel,6.22582,6.49656,0.270748,1048576,profile,Tesla V100-DGXS-32GB 0
task22,Kernel,6.49658,6.76192,0.265337,1048576,profile,Tesla V100-DGXS-32GB 0
task21,Kernel,6.76193,7.03278,0.27085,1048576,profile,Tesla V100-DGXS-32GB 0
task23,Kernel,7.03279,7.30311,0.270325,1048576,profile,Tesla V100-DGXS-32GB 0
