taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-2,MemFlushOut,0.00850105,0.0106194,0.00211835,0,random,Tesla V100-DGXS-32GB 2
Internal-H2D(task0)-to-2,MemFlushOut,0.0107028,0.0125153,0.00181246,0,random,Tesla V100-DGXS-32GB 2
Internal-H2D(task0)-to-2,MemFlushOut,0.0125453,0.0143867,0.00184131,0,random,Tesla V100-DGXS-32GB 2
task0,Kernel,0.0144155,0.279424,0.265008,1048576,random,Tesla V100-DGXS-32GB 2
Internal-H2D(task4)-to-2,MemFlushOut,0.279504,0.281939,0.00243497,0,random,Tesla V100-DGXS-32GB 2
Internal-H2D(task1)-to-3,MemFlushOut,0.279929,0.282391,0.00246143,0,random,Tesla V100-DGXS-32GB 3
Internal-H2D(task2)-to-0,MemFlushOut,0.28017,0.282707,0.00253773,0,random,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-1,MemFlushOut,0.280499,0.282849,0.00235009,0,random,Tesla V100-DGXS-32GB 1
Internal-H2D(task4)-to-2,MemFlushOut,0.281964,0.283573,0.00160933,0,random,Tesla V100-DGXS-32GB 2
Internal-H2D(task1)-to-3,MemFlushOut,0.282418,0.284138,0.00171947,0,random,Tesla V100-DGXS-32GB 3
Internal-H2D(task2)-to-0,MemFlushOut,0.282746,0.28475,0.00200462,0,random,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-1,MemFlushOut,0.282885,0.2849,0.00201535,0,random,Tesla V100-DGXS-32GB 1
Internal-H2D(task4)-to-2,MemFlushOut,0.283596,0.285297,0.00170159,0,random,Tesla V100-DGXS-32GB 2
Internal-H2D(task1)-to-3,MemFlushOut,0.284163,0.285784,0.00162077,0,random,Tesla V100-DGXS-32GB 3
Internal-H2D(task2)-to-0,MemFlushOut,0.284779,0.286761,0.00198245,0,random,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-1,MemFlushOut,0.284931,0.286892,0.00196123,0,random,Tesla V100-DGXS-32GB 1
task5,Kernel,0.28692,0.513885,0.226964,1048576,random,Tesla V100-DGXS-32GB 1
task1,Kernel,0.285804,0.523184,0.237381,1048576,random,Tesla V100-DGXS-32GB 3
task2,Kernel,0.286788,0.523448,0.23666,1048576,random,Tesla V100-DGXS-32GB 0
Internal-D2D(task6)-from-2-to-0,MemFlushOut,0.523726,0.523849,0.000123024,0,random,Tesla V100-DGXS-32GB 0
Internal-D2D(task6)-from-2-to-0,MemFlushOut,0.524105,0.524178,7.27177e-05,0,random,Tesla V100-DGXS-32GB 0
Internal-D2D(task6)-from-2-to-0,MemFlushOut,0.524465,0.524535,7.03335e-05,0,random,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-3,MemFlushOut,0.52321,0.524603,0.00139284,0,random,Tesla V100-DGXS-32GB 3
Internal-H2D(task3)-to-3,MemFlushOut,0.524624,0.525833,0.00120902,0,random,Tesla V100-DGXS-32GB 3
Internal-H2D(task3)-to-3,MemFlushOut,0.525851,0.527002,0.00115156,0,random,Tesla V100-DGXS-32GB 3
task4,Kernel,0.285321,0.55406,0.268739,1048576,random,Tesla V100-DGXS-32GB 2
Internal-D2D(task8)-from-0-to-2,MemFlushOut,0.554394,0.554481,8.60691e-05,0,random,Tesla V100-DGXS-32GB 2
Internal-D2D(task8)-from-0-to-2,MemFlushOut,0.554755,0.554825,6.96182e-05,0,random,Tesla V100-DGXS-32GB 2
Internal-D2D(task8)-from-0-to-2,MemFlushOut,0.555072,0.555148,7.65324e-05,0,random,Tesla V100-DGXS-32GB 2
task19,Kernel,0.513921,0.778351,0.264429,1048576,random,Tesla V100-DGXS-32GB 1
task6,Kernel,0.524552,0.790883,0.266331,1048576,random,Tesla V100-DGXS-32GB 0
Internal-D2D(task11)-from-3-to-1,MemFlushOut,0.791193,0.791269,7.58171e-05,0,random,Tesla V100-DGXS-32GB 1
Internal-D2D(task11)-from-3-to-1,MemFlushOut,0.791543,0.791616,7.31945e-05,0,random,Tesla V100-DGXS-32GB 1
task3,Kernel,0.527019,0.791906,0.264887,1048576,random,Tesla V100-DGXS-32GB 3
