taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0188401,0.0209444,0.00210428,0,roundrobin,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0210443,0.0226977,0.00165343,0,roundrobin,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0227184,0.0305772,0.00785875,0,roundrobin,Tesla V100-DGXS-32GB 0
task0,Kernel,0.0305991,0.302327,0.271728,1048576,roundrobin,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.302521,0.303798,0.00127649,0,roundrobin,Tesla V100-DGXS-32GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.303817,0.305679,0.00186276,0,roundrobin,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-3,MemFlushOut,0.303203,0.305844,0.00264072,0,roundrobin,Tesla V100-DGXS-32GB 3
Internal-H2D(task1)-to-1,MemFlushOut,0.303504,0.306038,0.00253367,0,roundrobin,Tesla V100-DGXS-32GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.30386,0.306238,0.00237775,0,roundrobin,Tesla V100-DGXS-32GB 2
Internal-H2D(task4)-to-0,MemFlushOut,0.305698,0.306915,0.00121713,0,roundrobin,Tesla V100-DGXS-32GB 0
Internal-H2D(task3)-to-3,MemFlushOut,0.305881,0.307936,0.00205445,0,roundrobin,Tesla V100-DGXS-32GB 3
Internal-H2D(task1)-to-1,MemFlushOut,0.306074,0.308163,0.00208855,0,roundrobin,Tesla V100-DGXS-32GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.306276,0.308466,0.00219035,0,roundrobin,Tesla V100-DGXS-32GB 2
Internal-H2D(task3)-to-3,MemFlushOut,0.307965,0.309913,0.00194836,0,roundrobin,Tesla V100-DGXS-32GB 3
Internal-H2D(task1)-to-1,MemFlushOut,0.308192,0.310042,0.00184989,0,roundrobin,Tesla V100-DGXS-32GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.308495,0.310427,0.00193214,0,roundrobin,Tesla V100-DGXS-32GB 2
task1,Kernel,0.31007,0.564886,0.254816,1048576,roundrobin,Tesla V100-DGXS-32GB 1
task2,Kernel,0.310455,0.564996,0.25454,1048576,roundrobin,Tesla V100-DGXS-32GB 2
Internal-D2D(task6)-from-0-to-2,MemFlushOut,0.565301,0.565398,9.70364e-05,0,roundrobin,Tesla V100-DGXS-32GB 2
Internal-D2D(task6)-from-0-to-2,MemFlushOut,0.56563,0.565692,6.24657e-05,0,roundrobin,Tesla V100-DGXS-32GB 2
Internal-D2D(task6)-from-0-to-2,MemFlushOut,0.565913,0.565974,6.03199e-05,0,roundrobin,Tesla V100-DGXS-32GB 2
Internal-H2D(task5)-to-1,MemFlushOut,0.564905,0.566238,0.00133348,0,roundrobin,Tesla V100-DGXS-32GB 1
task3,Kernel,0.309941,0.566753,0.256812,1048576,roundrobin,Tesla V100-DGXS-32GB 3
Internal-H2D(task5)-to-1,MemFlushOut,0.566254,0.567319,0.00106502,0,roundrobin,Tesla V100-DGXS-32GB 1
Internal-H2D(task5)-to-1,MemFlushOut,0.567334,0.56834,0.00100613,0,roundrobin,Tesla V100-DGXS-32GB 1
task4,Kernel,0.306931,0.568727,0.261796,1048576,roundrobin,Tesla V100-DGXS-32GB 0
Internal-D2D(task7)-from-1-to-0,MemFlushOut,0.568984,0.569063,7.93934e-05,0,roundrobin,Tesla V100-DGXS-32GB 0
