taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00864983,0.0104094,0.00175953,0,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0104666,0.0118883,0.00142169,0,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0119069,0.0133886,0.00148177,0,sdq,Tesla V100-DGXS-32GB 0
task0,Kernel,0.0134075,0.281038,0.26763,1048576,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.281079,0.282045,0.000965834,0,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.28206,0.282984,0.000923634,0,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.282997,0.283968,0.000971079,0,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task2)-to-1,MemFlushOut,0.283454,0.285528,0.002074,0,sdq,Tesla V100-DGXS-32GB 1
Internal-H2D(task3)-to-2,MemFlushOut,0.285551,0.287637,0.0020864,0,sdq,Tesla V100-DGXS-32GB 2
Internal-H2D(task2)-to-1,MemFlushOut,0.285566,0.287665,0.00209904,0,sdq,Tesla V100-DGXS-32GB 1
Internal-H2D(task2)-to-1,MemFlushOut,0.287695,0.290082,0.00238729,0,sdq,Tesla V100-DGXS-32GB 1
Internal-H2D(task3)-to-2,MemFlushOut,0.287673,0.290097,0.002424,0,sdq,Tesla V100-DGXS-32GB 2
Internal-H2D(task4)-to-3,MemFlushOut,0.288126,0.290628,0.00250125,0,sdq,Tesla V100-DGXS-32GB 3
Internal-H2D(task3)-to-2,MemFlushOut,0.290162,0.292109,0.00194645,0,sdq,Tesla V100-DGXS-32GB 2
Internal-H2D(task4)-to-3,MemFlushOut,0.290664,0.29273,0.00206614,0,sdq,Tesla V100-DGXS-32GB 3
Internal-H2D(task4)-to-3,MemFlushOut,0.292759,0.294585,0.00182605,0,sdq,Tesla V100-DGXS-32GB 3
task3,Kernel,0.292137,0.488434,0.196297,1048576,sdq,Tesla V100-DGXS-32GB 2
task4,Kernel,0.294612,0.492529,0.197917,1048576,sdq,Tesla V100-DGXS-32GB 3
task2,Kernel,0.290119,0.498393,0.208274,1048576,sdq,Tesla V100-DGXS-32GB 1
Internal-D2D(task6)-from-0-to-1,MemFlushOut,0.498727,0.498824,9.70364e-05,0,sdq,Tesla V100-DGXS-32GB 1
Internal-D2D(task7)-from-0-to-3,MemFlushOut,0.499093,0.499195,0.000102282,0,sdq,Tesla V100-DGXS-32GB 3
Internal-D2D(task6)-from-0-to-1,MemFlushOut,0.499158,0.499258,9.9659e-05,0,sdq,Tesla V100-DGXS-32GB 1
Internal-D2D(task7)-from-0-to-3,MemFlushOut,0.499548,0.499621,7.22408e-05,0,sdq,Tesla V100-DGXS-32GB 3
Internal-D2D(task6)-from-0-to-1,MemFlushOut,0.499628,0.499688,5.96046e-05,0,sdq,Tesla V100-DGXS-32GB 1
Internal-D2D(task7)-from-0-to-3,MemFlushOut,0.499871,0.499941,6.96182e-05,0,sdq,Tesla V100-DGXS-32GB 3
task1,Kernel,0.283981,0.554219,0.270239,1048576,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.554236,0.565092,0.0108554,0,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.565109,0.566223,0.00111389,0,sdq,Tesla V100-DGXS-32GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.566237,0.567296,0.00105929,0,sdq,Tesla V100-DGXS-32GB 0
task16,Kernel,0.488465,0.749341,0.260876,1048576,sdq,Tesla V100-DGXS-32GB 2
Internal-D2D(task8)-from-1-to-2,MemFlushOut,0.749601,0.749685,8.44002e-05,0,sdq,Tesla V100-DGXS-32GB 2
Internal-D2D(task8)-from-1-to-2,MemFlushOut,0.749888,0.749949,6.05583e-05,0,sdq,Tesla V100-DGXS-32GB 2
