taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00419712,0.00616384,0.00196671,0,depend,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00624442,0.00678992,0.000545502,0,depend,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0068047,0.00732565,0.000520945,0,depend,AMD Radeon Graphics 0
task0,Kernel,0.00733829,0.713921,0.706583,1048576,depend,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.714005,0.714655,0.000649452,0,depend,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.714667,0.715157,0.000490427,0,depend,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.715162,0.715605,0.000442266,0,depend,AMD Radeon Graphics 0
task1,Kernel,0.71561,1.43152,0.715907,1048576,depend,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.4316,1.43228,0.0006814,140512308265520,depend,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.43229,1.43279,0.000497103,140512308265520,depend,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.4328,1.43328,0.000484943,140512308265520,depend,AMD Radeon Graphics 0
task2,Kernel,1.43329,2.1611,0.727818,1048576,depend,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,2.16119,2.1619,0.000709772,0,depend,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,2.16191,2.16245,0.000530958,0,depend,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,2.16246,2.163,0.000538826,0,depend,AMD Radeon Graphics 0
task3,Kernel,2.16301,2.87878,0.715766,1048576,depend,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.87885,2.87959,0.000734806,0,depend,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.8796,2.88009,0.000498772,0,depend,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.8801,2.88057,0.000471354,0,depend,AMD Radeon Graphics 0
task4,Kernel,2.88058,3.59478,0.7142,1048576,depend,AMD Radeon Graphics 0
Internal-H2D(task5)-to-0,MemFlushOut,3.59485,3.59567,0.000819683,0,depend,AMD Radeon Graphics 0
Internal-H2D(task5)-to-0,MemFlushOut,3.59569,3.59619,0.00049758,0,depend,AMD Radeon Graphics 0
Internal-H2D(task5)-to-0,MemFlushOut,3.59619,3.59665,0.000458241,0,depend,AMD Radeon Graphics 0
task5,Kernel,3.59666,4.30335,0.706696,1048576,depend,AMD Radeon Graphics 0
task6,Kernel,4.30342,5.01315,0.709727,1048576,depend,AMD Radeon Graphics 0
task16,Kernel,5.01324,5.7171,0.703865,1048576,depend,AMD Radeon Graphics 0
task7,Kernel,5.71717,6.43298,0.71581,1048576,depend,AMD Radeon Graphics 0
task8,Kernel,6.43305,7.13889,0.70584,1048576,depend,AMD Radeon Graphics 0
task10,Kernel,7.13895,7.85599,0.717038,1048576,depend,AMD Radeon Graphics 0
task12,Kernel,7.85608,8.56072,0.704644,1048576,depend,AMD Radeon Graphics 0
task19,Kernel,8.56078,9.26438,0.703597,1048576,depend,AMD Radeon Graphics 0
task20,Kernel,9.26444,9.96994,0.705496,1048576,depend,AMD Radeon Graphics 0
task9,Kernel,9.97004,10.7013,0.731299,1048576,depend,AMD Radeon Graphics 0
task11,Kernel,10.7014,11.4086,0.707139,1048576,depend,AMD Radeon Graphics 0
task13,Kernel,11.4086,12.115,0.706345,1048576,depend,AMD Radeon Graphics 0
task18,Kernel,12.115,12.8187,0.703614,1048576,depend,AMD Radeon Graphics 0
task17,Kernel,12.8187,13.5341,0.715344,1048576,depend,AMD Radeon Graphics 0
task15,Kernel,13.5341,14.2398,0.705724,1048576,depend,AMD Radeon Graphics 0
task14,Kernel,14.2399,14.9419,0.702041,1048576,depend,AMD Radeon Graphics 0
task26,Kernel,14.9419,15.655,0.713088,1048576,depend,AMD Radeon Graphics 0
task24,Kernel,15.655,16.3579,0.702888,1048576,depend,AMD Radeon Graphics 0
task27,Kernel,16.358,17.0631,0.705175,1048576,depend,AMD Radeon Graphics 0
task22,Kernel,17.0631,17.7886,0.725425,1048576,depend,AMD Radeon Graphics 0
task21,Kernel,17.7886,18.4893,0.700619,1048576,depend,AMD Radeon Graphics 0
task23,Kernel,18.4893,19.1928,0.703491,1048576,depend,AMD Radeon Graphics 0
task30,Kernel,19.1928,19.8952,0.702404,1048576,depend,AMD Radeon Graphics 0
task29,Kernel,19.8953,20.599,0.703737,1048576,depend,AMD Radeon Graphics 0
task34,Kernel,20.5991,21.3052,0.70611,1048576,depend,AMD Radeon Graphics 0
task41,Kernel,21.3053,22.0095,0.704274,1048576,depend,AMD Radeon Graphics 0
task38,Kernel,22.0096,22.7134,0.703732,1048576,depend,AMD Radeon Graphics 0
task33,Kernel,22.7134,23.4372,0.723742,1048576,depend,AMD Radeon Graphics 0
task39,Kernel,23.4373,24.1419,0.704642,1048576,depend,AMD Radeon Graphics 0
task25,Kernel,24.1421,24.8546,0.712502,1048576,depend,AMD Radeon Graphics 0
task32,Kernel,24.8547,25.5576,0.70294,1048576,depend,AMD Radeon Graphics 0
task28,Kernel,25.5577,26.2631,0.705426,1048576,depend,AMD Radeon Graphics 0
task36,Kernel,26.2632,26.9685,0.70524,1048576,depend,AMD Radeon Graphics 0
task31,Kernel,26.9685,27.6712,0.702631,1048576,depend,AMD Radeon Graphics 0
task46,Kernel,27.6712,28.3817,0.710447,1048576,depend,AMD Radeon Graphics 0
task42,Kernel,28.3818,29.0876,0.705801,1048576,depend,AMD Radeon Graphics 0
task45,Kernel,29.0877,29.791,0.703387,1048576,depend,AMD Radeon Graphics 0
task51,Kernel,29.7911,30.5135,0.722366,1048576,depend,AMD Radeon Graphics 0
task35,Kernel,30.5136,31.2163,0.702682,1048576,depend,AMD Radeon Graphics 0
task43,Kernel,31.2163,31.9219,0.705601,1048576,depend,AMD Radeon Graphics 0
task47,Kernel,31.922,32.6258,0.703805,1048576,depend,AMD Radeon Graphics 0
task37,Kernel,32.6258,33.3321,0.706283,1048576,depend,AMD Radeon Graphics 0
task44,Kernel,33.3322,34.0391,0.706857,1048576,depend,AMD Radeon Graphics 0
task48,Kernel,34.0391,34.7409,0.701778,1048576,depend,AMD Radeon Graphics 0
task50,Kernel,34.741,35.4473,0.706234,1048576,depend,AMD Radeon Graphics 0
task60,Kernel,35.4474,36.149,0.701654,1048576,depend,AMD Radeon Graphics 0
task40,Kernel,36.1491,36.8522,0.703142,1048576,depend,AMD Radeon Graphics 0
task54,Kernel,36.8523,37.5553,0.702963,1048576,depend,AMD Radeon Graphics 0
task49,Kernel,37.5553,38.2587,0.703395,1048576,depend,AMD Radeon Graphics 0
task52,Kernel,38.2588,38.9834,0.724545,1048576,depend,AMD Radeon Graphics 0
task53,Kernel,38.9834,39.6871,0.703649,1048576,depend,AMD Radeon Graphics 0
task59,Kernel,39.6872,40.3884,0.70121,1048576,depend,AMD Radeon Graphics 0
task55,Kernel,40.3885,41.0982,0.709716,1048576,depend,AMD Radeon Graphics 0
task64,Kernel,41.0982,41.7981,0.699869,1048576,depend,AMD Radeon Graphics 0
task58,Kernel,41.7982,42.4996,0.701426,1048576,depend,AMD Radeon Graphics 0
task56,Kernel,42.4997,43.2077,0.707921,1048576,depend,AMD Radeon Graphics 0
task61,Kernel,43.2077,43.9194,0.711672,1048576,depend,AMD Radeon Graphics 0
task65,Kernel,43.9195,44.6221,0.702605,1048576,depend,AMD Radeon Graphics 0
task57,Kernel,44.6221,45.3272,0.705054,1048576,depend,AMD Radeon Graphics 0
task63,Kernel,45.3272,46.0303,0.703096,1048576,depend,AMD Radeon Graphics 0
task62,Kernel,46.0304,46.7357,0.705272,1048576,depend,AMD Radeon Graphics 0
task69,Kernel,46.7357,47.4377,0.701982,1048576,depend,AMD Radeon Graphics 0
task71,Kernel,47.4378,48.1441,0.706323,1048576,depend,AMD Radeon Graphics 0
task80,Kernel,48.1442,48.8472,0.703084,1048576,depend,AMD Radeon Graphics 0
task68,Kernel,48.8473,49.5488,0.701494,1048576,depend,AMD Radeon Graphics 0
task66,Kernel,49.5489,50.2544,0.705571,1048576,depend,AMD Radeon Graphics 0
task72,Kernel,50.2545,50.9693,0.714802,1048576,depend,AMD Radeon Graphics 0
task78,Kernel,50.9694,51.6706,0.701179,1048576,depend,AMD Radeon Graphics 0
task70,Kernel,51.6706,52.3725,0.701825,1048576,depend,AMD Radeon Graphics 0
task82,Kernel,52.3726,53.0864,0.713851,1048576,depend,AMD Radeon Graphics 0
task73,Kernel,53.0865,53.7928,0.70632,1048576,depend,AMD Radeon Graphics 0
task77,Kernel,53.7929,54.4969,0.704016,1048576,depend,AMD Radeon Graphics 0
task88,Kernel,54.4969,55.2051,0.708149,1048576,depend,AMD Radeon Graphics 0
task75,Kernel,55.2052,55.91,0.704887,1048576,depend,AMD Radeon Graphics 0
task76,Kernel,55.9101,56.6139,0.703784,1048576,depend,AMD Radeon Graphics 0
task67,Kernel,56.614,57.317,0.703077,1048576,depend,AMD Radeon Graphics 0
task97,Kernel,57.3171,58.0201,0.703053,1048576,depend,AMD Radeon Graphics 0
task86,Kernel,58.0202,58.7222,0.702033,1048576,depend,AMD Radeon Graphics 0
task89,Kernel,58.7223,59.4345,0.712183,1048576,depend,AMD Radeon Graphics 0
task74,Kernel,59.4345,60.1432,0.708661,1048576,depend,AMD Radeon Graphics 0
task79,Kernel,60.1432,60.8481,0.704906,1048576,depend,AMD Radeon Graphics 0
task81,Kernel,60.8482,61.5514,0.703264,1048576,depend,AMD Radeon Graphics 0
task83,Kernel,61.5515,62.2581,0.706597,1048576,depend,AMD Radeon Graphics 0
task85,Kernel,62.2582,62.9745,0.716347,1048576,depend,AMD Radeon Graphics 0
task90,Kernel,62.9746,63.6769,0.702311,1048576,depend,AMD Radeon Graphics 0
task120,Kernel,63.677,64.384,0.707031,1048576,depend,AMD Radeon Graphics 0
task92,Kernel,64.3841,65.0875,0.703454,1048576,depend,AMD Radeon Graphics 0
task95,Kernel,65.0876,65.8014,0.713784,1048576,depend,AMD Radeon Graphics 0
task84,Kernel,65.8015,66.5151,0.713618,1048576,depend,AMD Radeon Graphics 0
task91,Kernel,66.5152,67.2204,0.705173,1048576,depend,AMD Radeon Graphics 0
task87,Kernel,67.2205,67.9262,0.705771,1048576,depend,AMD Radeon Graphics 0
task94,Kernel,67.9263,68.6302,0.703883,1048576,depend,AMD Radeon Graphics 0
task129,Kernel,68.6303,69.3344,0.704147,1048576,depend,AMD Radeon Graphics 0
task98,Kernel,69.3345,70.04,0.705538,1048576,depend,AMD Radeon Graphics 0
task100,Kernel,70.0401,70.7433,0.70317,1048576,depend,AMD Radeon Graphics 0
task105,Kernel,70.7434,71.4428,0.699434,1048576,depend,AMD Radeon Graphics 0
task96,Kernel,71.4429,72.1469,0.704027,1048576,depend,AMD Radeon Graphics 0
task99,Kernel,72.147,72.8526,0.705609,1048576,depend,AMD Radeon Graphics 0
task93,Kernel,72.8527,73.5547,0.70202,1048576,depend,AMD Radeon Graphics 0
task103,Kernel,73.5548,74.2572,0.702448,1048576,depend,AMD Radeon Graphics 0
task102,Kernel,74.2573,74.9582,0.700906,1048576,depend,AMD Radeon Graphics 0
task117,Kernel,74.9583,75.662,0.703704,1048576,depend,AMD Radeon Graphics 0
task101,Kernel,75.6621,76.3689,0.706779,1048576,depend,AMD Radeon Graphics 0
task110,Kernel,76.3689,77.0696,0.70063,1048576,depend,AMD Radeon Graphics 0
task107,Kernel,77.0696,77.7847,0.715038,1048576,depend,AMD Radeon Graphics 0
task114,Kernel,77.7847,78.4873,0.702595,1048576,depend,AMD Radeon Graphics 0
task106,Kernel,78.4874,79.1926,0.705173,1048576,depend,AMD Radeon Graphics 0
task104,Kernel,79.1926,79.8947,0.702165,1048576,depend,AMD Radeon Graphics 0
task108,Kernel,79.8948,80.599,0.704231,1048576,depend,AMD Radeon Graphics 0
task111,Kernel,80.599,81.3026,0.703581,1048576,depend,AMD Radeon Graphics 0
task118,Kernel,81.3027,82.0072,0.704529,1048576,depend,AMD Radeon Graphics 0
task128,Kernel,82.0072,82.7217,0.714439,1048576,depend,AMD Radeon Graphics 0
task109,Kernel,82.7217,83.4204,0.698638,1048576,depend,AMD Radeon Graphics 0
task112,Kernel,83.4204,84.1232,0.702826,1048576,depend,AMD Radeon Graphics 0
task113,Kernel,84.1232,84.8266,0.70334,1048576,depend,AMD Radeon Graphics 0
task116,Kernel,84.8266,85.5317,0.705121,1048576,depend,AMD Radeon Graphics 0
task115,Kernel,85.5317,86.252,0.720265,1048576,depend,AMD Radeon Graphics 0
task119,Kernel,86.252,86.9685,0.716481,1048576,depend,AMD Radeon Graphics 0
task126,Kernel,86.9685,87.6756,0.707079,1048576,depend,AMD Radeon Graphics 0
task122,Kernel,87.6756,88.3772,0.701667,1048576,depend,AMD Radeon Graphics 0
task121,Kernel,88.3773,89.0799,0.702643,1048576,depend,AMD Radeon Graphics 0
task125,Kernel,89.0799,89.7854,0.705507,1048576,depend,AMD Radeon Graphics 0
task132,Kernel,89.7854,90.4906,0.705191,1048576,depend,AMD Radeon Graphics 0
task137,Kernel,90.4906,91.1927,0.702034,1048576,depend,AMD Radeon Graphics 0
task127,Kernel,91.1927,91.8985,0.70582,1048576,depend,AMD Radeon Graphics 0
task135,Kernel,91.8985,92.6037,0.705181,1048576,depend,AMD Radeon Graphics 0
task123,Kernel,92.6037,93.3046,0.70089,1048576,depend,AMD Radeon Graphics 0
task124,Kernel,93.3046,94.0084,0.7038,1048576,depend,AMD Radeon Graphics 0
task131,Kernel,94.0084,94.7115,0.70312,1048576,depend,AMD Radeon Graphics 0
task133,Kernel,94.7115,95.4262,0.714647,1048576,depend,AMD Radeon Graphics 0
task130,Kernel,95.4262,96.1294,0.703216,1048576,depend,AMD Radeon Graphics 0
task138,Kernel,96.1295,96.8336,0.704063,1048576,depend,AMD Radeon Graphics 0
task143,Kernel,96.8336,97.5353,0.701692,1048576,depend,AMD Radeon Graphics 0
task140,Kernel,97.5353,98.2392,0.70391,1048576,depend,AMD Radeon Graphics 0
task149,Kernel,98.2392,98.9416,0.702333,1048576,depend,AMD Radeon Graphics 0
task134,Kernel,98.9416,99.6446,0.702994,1048576,depend,AMD Radeon Graphics 0
task136,Kernel,99.6446,100.349,0.704319,1048576,depend,AMD Radeon Graphics 0
task139,Kernel,100.349,101.056,0.706768,1048576,depend,AMD Radeon Graphics 0
task141,Kernel,101.056,101.759,0.703683,1048576,depend,AMD Radeon Graphics 0
task142,Kernel,101.759,102.465,0.705616,1048576,depend,AMD Radeon Graphics 0
task150,Kernel,102.465,103.167,0.701505,1048576,depend,AMD Radeon Graphics 0
task153,Kernel,103.167,103.873,0.706387,1048576,depend,AMD Radeon Graphics 0
task158,Kernel,103.873,104.576,0.7034,1048576,depend,AMD Radeon Graphics 0
task160,Kernel,104.576,105.28,0.704099,1048576,depend,AMD Radeon Graphics 0
task145,Kernel,105.28,105.985,0.70461,1048576,depend,AMD Radeon Graphics 0
task148,Kernel,105.985,106.691,0.705767,1048576,depend,AMD Radeon Graphics 0
task144,Kernel,106.691,107.394,0.703443,1048576,depend,AMD Radeon Graphics 0
task152,Kernel,107.394,108.097,0.702812,1048576,depend,AMD Radeon Graphics 0
task156,Kernel,108.097,108.802,0.704453,1048576,depend,AMD Radeon Graphics 0
task146,Kernel,108.802,109.515,0.713254,1048576,depend,AMD Radeon Graphics 0
task151,Kernel,109.515,110.217,0.702334,1048576,depend,AMD Radeon Graphics 0
task164,Kernel,110.217,110.934,0.716073,1048576,depend,AMD Radeon Graphics 0
task154,Kernel,110.934,111.663,0.72988,1048576,depend,AMD Radeon Graphics 0
task165,Kernel,111.664,112.365,0.701481,1048576,depend,AMD Radeon Graphics 0
task147,Kernel,112.365,113.071,0.706363,1048576,depend,AMD Radeon Graphics 0
task161,Kernel,113.071,113.776,0.704561,1048576,depend,AMD Radeon Graphics 0
task157,Kernel,113.776,114.482,0.706228,1048576,depend,AMD Radeon Graphics 0
task172,Kernel,114.482,115.188,0.705768,1048576,depend,AMD Radeon Graphics 0
task155,Kernel,115.188,115.891,0.70262,1048576,depend,AMD Radeon Graphics 0
task159,Kernel,115.891,116.593,0.702116,1048576,depend,AMD Radeon Graphics 0
task166,Kernel,116.593,117.299,0.705936,1048576,depend,AMD Radeon Graphics 0
task163,Kernel,117.299,118.014,0.715147,1048576,depend,AMD Radeon Graphics 0
task185,Kernel,118.014,118.718,0.704242,1048576,depend,AMD Radeon Graphics 0
task162,Kernel,118.77,119.475,0.705211,1048576,depend,AMD Radeon Graphics 0
task167,Kernel,119.475,120.186,0.710645,1048576,depend,AMD Radeon Graphics 0
task171,Kernel,120.186,120.889,0.702988,1048576,depend,AMD Radeon Graphics 0
task168,Kernel,120.889,121.594,0.705221,1048576,depend,AMD Radeon Graphics 0
