taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00445342,0.00638843,0.00193501,0,ftf,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00644541,0.00723886,0.000793457,0,ftf,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00724483,0.00802732,0.00078249,0,ftf,AMD Radeon Graphics 0
task0,Kernel,0.00803256,0.712277,0.704245,1048576,ftf,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.712344,0.713244,0.000900745,0,ftf,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.713251,0.714164,0.000912428,0,ftf,AMD Radeon Graphics 0
Internal-H2D(task2)-to-1,MemFlushOut,0.712381,0.714169,0.00178719,139909019390512,ftf,AMD Radeon Graphics 1
Internal-H2D(task2)-to-1,MemFlushOut,0.7142,0.714741,0.00054121,139909019390512,ftf,AMD Radeon Graphics 1
Internal-H2D(task1)-to-0,MemFlushOut,0.714169,0.714949,0.000779867,0,ftf,AMD Radeon Graphics 0
Internal-H2D(task2)-to-1,MemFlushOut,0.714746,0.715168,0.000421047,139909019390512,ftf,AMD Radeon Graphics 1
task1,Kernel,0.714954,1.42727,0.712319,1048576,ftf,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,1.4273,1.42817,0.00086832,0,ftf,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,1.42818,1.42897,0.000794172,0,ftf,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,1.42898,1.42976,0.000778913,0,ftf,AMD Radeon Graphics 0
task2,Kernel,0.715173,1.43522,0.720052,1048576,ftf,AMD Radeon Graphics 1
Internal-H2D(task4)-to-1,MemFlushOut,1.43524,1.43575,0.000509024,0,ftf,AMD Radeon Graphics 1
Internal-H2D(task4)-to-1,MemFlushOut,1.43576,1.43623,0.000474215,0,ftf,AMD Radeon Graphics 1
Internal-H2D(task4)-to-1,MemFlushOut,1.43624,1.43671,0.000473261,0,ftf,AMD Radeon Graphics 1
task4,Kernel,1.43672,2.14966,0.712946,1048576,ftf,AMD Radeon Graphics 1
