taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0501962,0.0520301,0.00183392,0,profile,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0521116,0.0526335,0.000521898,0,profile,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0526404,0.0531206,0.000480175,0,profile,AMD Radeon Graphics 0
task0,Kernel,0.0531266,0.756556,0.70343,1048576,profile,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.756644,0.75723,0.000585556,0,profile,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.757242,0.757724,0.000482082,0,profile,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.757729,0.75823,0.000501394,0,profile,AMD Radeon Graphics 0
task1,Kernel,0.758236,1.48997,0.731739,1048576,profile,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49012,1.4909,0.000788927,139898588049968,profile,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49092,1.49141,0.000483274,139898588049968,profile,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49141,1.49186,0.000444651,139898588049968,profile,AMD Radeon Graphics 0
task2,Kernel,1.49187,2.20679,0.71492,1048576,profile,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,2.20688,2.20753,0.000640869,0,profile,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,2.20754,2.20803,0.000493765,0,profile,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,2.20804,2.20852,0.000476122,0,profile,AMD Radeon Graphics 0
task3,Kernel,2.20852,2.91215,0.703622,1048576,profile,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.91225,2.91285,0.000596285,0,profile,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.91287,2.91334,0.000478506,0,profile,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.91335,2.91379,0.000438929,0,profile,AMD Radeon Graphics 0
task4,Kernel,2.91379,3.628,0.714208,1048576,profile,AMD Radeon Graphics 0
Internal-H2D(task5)-to-0,MemFlushOut,3.62809,3.62879,0.000709295,0,profile,AMD Radeon Graphics 0
Internal-H2D(task5)-to-0,MemFlushOut,3.62881,3.6293,0.000484467,0,profile,AMD Radeon Graphics 0
Internal-H2D(task5)-to-0,MemFlushOut,3.6293,3.62977,0.000466108,0,profile,AMD Radeon Graphics 0
task5,Kernel,3.62978,4.33236,0.702587,1048576,profile,AMD Radeon Graphics 0
task6,Kernel,4.33245,5.04985,0.7174,1048576,profile,AMD Radeon Graphics 0
task16,Kernel,5.04994,5.75449,0.70455,1048576,profile,AMD Radeon Graphics 0
task7,Kernel,5.75457,6.45928,0.704712,1048576,profile,AMD Radeon Graphics 0
task8,Kernel,6.45934,7.16154,0.702201,1048576,profile,AMD Radeon Graphics 0
task10,Kernel,7.16159,7.87523,0.713631,1048576,profile,AMD Radeon Graphics 0
task12,Kernel,7.8754,8.57676,0.701357,1048576,profile,AMD Radeon Graphics 0
task19,Kernel,8.57682,9.28232,0.705494,1048576,profile,AMD Radeon Graphics 0
task20,Kernel,9.28234,10.0005,0.718114,1048576,profile,AMD Radeon Graphics 0
task9,Kernel,10.0005,10.7064,0.705946,1048576,profile,AMD Radeon Graphics 0
task11,Kernel,10.7064,11.4115,0.705063,1048576,profile,AMD Radeon Graphics 0
task13,Kernel,11.4115,12.1143,0.702817,1048576,profile,AMD Radeon Graphics 0
task18,Kernel,12.1144,12.8467,0.7323,1048576,profile,AMD Radeon Graphics 0
task17,Kernel,12.8467,13.5624,0.715687,1048576,profile,AMD Radeon Graphics 0
task15,Kernel,13.5624,14.27,0.707609,1048576,profile,AMD Radeon Graphics 0
task14,Kernel,14.2701,14.9718,0.701765,1048576,profile,AMD Radeon Graphics 0
task26,Kernel,14.9719,15.6889,0.717016,1048576,profile,AMD Radeon Graphics 0
task24,Kernel,15.689,16.4076,0.718663,1048576,profile,AMD Radeon Graphics 0
task27,Kernel,16.4078,17.1122,0.704401,1048576,profile,AMD Radeon Graphics 0
task22,Kernel,17.1122,17.8241,0.71186,1048576,profile,AMD Radeon Graphics 0
task21,Kernel,17.8242,18.5289,0.704688,1048576,profile,AMD Radeon Graphics 0
task23,Kernel,18.5289,19.2306,0.701686,1048576,profile,AMD Radeon Graphics 0
task30,Kernel,19.2307,19.9331,0.702405,1048576,profile,AMD Radeon Graphics 0
task29,Kernel,19.9331,20.6484,0.715256,1048576,profile,AMD Radeon Graphics 0
