taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0384054,0.0400832,0.00167775,0,random,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0401354,0.0406179,0.000482559,0,random,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0406232,0.0410962,0.000473022,0,random,AMD Radeon Graphics 0
task0,Kernel,0.0411007,0.751605,0.710504,1048576,random,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.75167,0.752615,0.000944614,0,random,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.752621,0.75367,0.00104833,0,random,AMD Radeon Graphics 0
Internal-H2D(task3)-to-1,MemFlushOut,0.751717,0.753706,0.00198913,0,random,AMD Radeon Graphics 1
Internal-H2D(task3)-to-1,MemFlushOut,0.75374,0.754233,0.000492573,0,random,AMD Radeon Graphics 1
Internal-H2D(task1)-to-0,MemFlushOut,0.753675,0.754458,0.000782251,0,random,AMD Radeon Graphics 0
Internal-H2D(task3)-to-1,MemFlushOut,0.754238,0.75471,0.000472069,0,random,AMD Radeon Graphics 1
task1,Kernel,0.754463,1.4694,0.714934,1048576,random,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.46943,1.47029,0.000866413,139964979614256,random,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.4703,1.47108,0.000779152,139964979614256,random,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,1.47109,1.47187,0.000779867,139964979614256,random,AMD Radeon Graphics 0
task3,Kernel,0.754715,1.47402,0.71931,1048576,random,AMD Radeon Graphics 1
Internal-H2D(task5)-to-1,MemFlushOut,1.47404,1.47455,0.000510693,0,random,AMD Radeon Graphics 1
Internal-H2D(task5)-to-1,MemFlushOut,1.47456,1.47503,0.000473976,0,random,AMD Radeon Graphics 1
Internal-H2D(task5)-to-1,MemFlushOut,1.47504,1.47551,0.000472546,0,random,AMD Radeon Graphics 1
task2,Kernel,1.47187,2.18443,0.712555,1048576,random,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.18444,2.18526,0.000818968,0,random,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.18527,2.18605,0.000777483,0,random,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,2.18605,2.18682,0.000773907,0,random,AMD Radeon Graphics 0
task5,Kernel,1.47551,2.20203,0.726517,1048576,random,AMD Radeon Graphics 1
task4,Kernel,2.18683,2.8916,0.70477,1048576,random,AMD Radeon Graphics 0
task16,Kernel,2.20204,2.91041,0.708366,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task7)-from-0-to-1,MemFlushOut,2.91047,2.9113,0.000838041,0,random,AMD Radeon Graphics 1
Internal-D2D(task7)-from-0-to-1,MemFlushOut,2.91134,2.91217,0.000831604,0,random,AMD Radeon Graphics 1
Internal-D2D(task7)-from-0-to-1,MemFlushOut,2.91238,2.91289,0.0005126,0,random,AMD Radeon Graphics 1
task6,Kernel,2.89161,3.61516,0.723545,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task10)-from-1-to-0,MemFlushOut,3.61528,3.61581,0.000531435,0,random,AMD Radeon Graphics 0
Internal-D2D(task10)-from-1-to-0,MemFlushOut,3.61584,3.61636,0.000516176,0,random,AMD Radeon Graphics 0
Internal-D2D(task10)-from-1-to-0,MemFlushOut,3.61638,3.6169,0.00051403,0,random,AMD Radeon Graphics 0
task7,Kernel,2.9129,3.63078,0.717885,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task12)-from-0-to-1,MemFlushOut,3.63084,3.63167,0.000827074,0,random,AMD Radeon Graphics 1
Internal-D2D(task12)-from-0-to-1,MemFlushOut,3.6317,3.63256,0.000854254,0,random,AMD Radeon Graphics 1
Internal-D2D(task12)-from-0-to-1,MemFlushOut,3.63259,3.63348,0.000895739,0,random,AMD Radeon Graphics 1
task10,Kernel,3.6169,4.31949,0.702584,1048576,random,AMD Radeon Graphics 0
task12,Kernel,3.63348,4.35291,0.71943,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task9)-from-0-to-1,MemFlushOut,4.35295,4.35378,0.000830889,0,random,AMD Radeon Graphics 1
Internal-D2D(task9)-from-0-to-1,MemFlushOut,4.35382,4.35464,0.000828743,0,random,AMD Radeon Graphics 1
Internal-D2D(task9)-from-0-to-1,MemFlushOut,4.35467,4.3555,0.000828028,0,random,AMD Radeon Graphics 1
task19,Kernel,4.3195,5.03574,0.716239,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task20)-from-1-to-0,MemFlushOut,5.03587,5.03671,0.000846148,0,random,AMD Radeon Graphics 0
Internal-D2D(task20)-from-1-to-0,MemFlushOut,5.03674,5.03757,0.000829458,0,random,AMD Radeon Graphics 0
Internal-D2D(task20)-from-1-to-0,MemFlushOut,5.03761,5.03844,0.000828981,0,random,AMD Radeon Graphics 0
task9,Kernel,4.3555,5.07393,0.718428,1048576,random,AMD Radeon Graphics 1
task20,Kernel,5.03844,5.74378,0.705334,1048576,random,AMD Radeon Graphics 0
task18,Kernel,5.07394,5.78033,0.706388,1048576,random,AMD Radeon Graphics 1
task8,Kernel,5.74379,6.44675,0.70296,1048576,random,AMD Radeon Graphics 0
task14,Kernel,5.78034,6.48858,0.708244,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task27)-from-0-to-1,MemFlushOut,6.48859,6.48943,0.000837326,0,random,AMD Radeon Graphics 1
task11,Kernel,6.44676,7.16174,0.714978,1048576,random,AMD Radeon Graphics 0
task27,Kernel,6.48943,7.21788,0.728441,1048576,random,AMD Radeon Graphics 1
task13,Kernel,7.16177,7.86536,0.703587,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task17)-from-1-to-0,MemFlushOut,7.86537,7.86622,0.00084877,0,random,AMD Radeon Graphics 0
task38,Kernel,7.21795,7.92449,0.706534,1048576,random,AMD Radeon Graphics 1
task17,Kernel,7.86622,8.57118,0.704952,1048576,random,AMD Radeon Graphics 0
task15,Kernel,8.57119,9.27284,0.701654,1048576,random,AMD Radeon Graphics 0
task24,Kernel,9.27285,9.98504,0.712191,1048576,random,AMD Radeon Graphics 0
task23,Kernel,9.27296,9.99285,0.719894,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task29)-from-0-to-1,MemFlushOut,9.99294,9.99379,0.000853539,0,random,AMD Radeon Graphics 1
Internal-D2D(task29)-from-0-to-1,MemFlushOut,9.99383,9.99467,0.000839472,0,random,AMD Radeon Graphics 1
Internal-D2D(task29)-from-0-to-1,MemFlushOut,9.9947,9.99558,0.000884295,0,random,AMD Radeon Graphics 1
task30,Kernel,9.98507,10.6868,0.701756,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task26)-from-1-to-0,MemFlushOut,10.6868,10.6877,0.000837088,0,random,AMD Radeon Graphics 0
task29,Kernel,9.99559,10.7003,0.704753,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task41)-from-0-to-1,MemFlushOut,10.7003,10.7012,0.000832796,0,random,AMD Radeon Graphics 1
task26,Kernel,10.6877,11.3895,0.701807,1048576,random,AMD Radeon Graphics 0
task41,Kernel,10.7012,11.4188,0.717662,1048576,random,AMD Radeon Graphics 1
task45,Kernel,11.3895,12.0949,0.705435,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task22)-from-1-to-0,MemFlushOut,12.095,12.0958,0.000832319,0,random,AMD Radeon Graphics 0
task28,Kernel,11.4189,12.1265,0.707692,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task36)-from-0-to-1,MemFlushOut,12.1266,12.1274,0.000832558,0,random,AMD Radeon Graphics 1
task22,Kernel,12.0958,12.8004,0.704638,1048576,random,AMD Radeon Graphics 0
task36,Kernel,12.1274,12.8304,0.703046,1048576,random,AMD Radeon Graphics 1
task21,Kernel,12.8004,13.5045,0.704098,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task34)-from-1-to-0,MemFlushOut,13.5045,13.5054,0.000831366,0,random,AMD Radeon Graphics 0
task46,Kernel,12.8304,13.536,0.705502,1048576,random,AMD Radeon Graphics 1
task34,Kernel,13.5054,14.2168,0.711423,1048576,random,AMD Radeon Graphics 0
task39,Kernel,13.536,14.2522,0.716234,1048576,random,AMD Radeon Graphics 1
task31,Kernel,14.2168,14.9229,0.706027,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task33)-from-1-to-0,MemFlushOut,14.9229,14.9237,0.000856876,0,random,AMD Radeon Graphics 0
task32,Kernel,14.2522,14.9597,0.707544,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task60)-from-0-to-1,MemFlushOut,14.9598,14.9606,0.000844002,0,random,AMD Radeon Graphics 1
task33,Kernel,14.9237,15.6289,0.705195,1048576,random,AMD Radeon Graphics 0
task60,Kernel,14.9606,15.665,0.704405,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task44)-from-0-to-1,MemFlushOut,15.665,15.6659,0.00083971,0,random,AMD Radeon Graphics 1
task37,Kernel,15.6289,16.3357,0.706756,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task25)-from-1-to-0,MemFlushOut,16.3357,16.3366,0.000843048,0,random,AMD Radeon Graphics 0
task44,Kernel,15.6659,16.3699,0.704019,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task48)-from-0-to-1,MemFlushOut,16.3699,16.3707,0.000833988,0,random,AMD Radeon Graphics 1
task25,Kernel,16.3366,17.0415,0.704958,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task42)-from-1-to-0,MemFlushOut,17.0415,17.0424,0.000828743,0,random,AMD Radeon Graphics 0
task48,Kernel,16.3707,17.076,0.705252,1048576,random,AMD Radeon Graphics 1
task42,Kernel,17.0424,17.7459,0.703579,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task50)-from-1-to-0,MemFlushOut,17.746,17.7468,0.00083518,0,random,AMD Radeon Graphics 0
task43,Kernel,17.076,17.7857,0.709683,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task47)-from-0-to-1,MemFlushOut,17.7857,17.7865,0.000831842,0,random,AMD Radeon Graphics 1
task50,Kernel,17.7468,18.4508,0.703993,1048576,random,AMD Radeon Graphics 0
task47,Kernel,17.7865,18.4927,0.706186,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task35)-from-0-to-1,MemFlushOut,18.4927,18.4935,0.000832319,0,random,AMD Radeon Graphics 1
task51,Kernel,18.4508,19.1605,0.709721,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task64)-from-1-to-0,MemFlushOut,19.1605,19.1614,0.000854254,0,random,AMD Radeon Graphics 0
task35,Kernel,18.4936,19.2097,0.716196,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task59)-from-0-to-1,MemFlushOut,19.2098,19.2106,0.000855446,0,random,AMD Radeon Graphics 1
task64,Kernel,19.1614,19.8651,0.703677,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task53)-from-1-to-0,MemFlushOut,19.8651,19.8659,0.000831127,0,random,AMD Radeon Graphics 0
task59,Kernel,19.2106,19.9199,0.709244,1048576,random,AMD Radeon Graphics 1
task53,Kernel,19.8659,20.5703,0.704383,1048576,random,AMD Radeon Graphics 0
task52,Kernel,19.9199,20.631,0.711091,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task54)-from-0-to-1,MemFlushOut,20.631,20.6318,0.00083375,0,random,AMD Radeon Graphics 1
task55,Kernel,20.5703,21.2722,0.701917,1048576,random,AMD Radeon Graphics 0
task54,Kernel,20.6318,21.3378,0.705935,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task49)-from-0-to-1,MemFlushOut,21.3378,21.3386,0.000830412,0,random,AMD Radeon Graphics 1
task57,Kernel,21.3281,22.0327,0.704645,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task56)-from-1-to-0,MemFlushOut,22.0327,22.0336,0.00088954,0,random,AMD Radeon Graphics 0
task49,Kernel,21.3386,22.0454,0.706819,1048576,random,AMD Radeon Graphics 1
task56,Kernel,22.0336,22.7373,0.703678,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task61)-from-1-to-0,MemFlushOut,22.7373,22.7381,0.00083065,0,random,AMD Radeon Graphics 0
task40,Kernel,22.0454,22.7487,0.703302,1048576,random,AMD Radeon Graphics 1
task61,Kernel,22.7381,23.4419,0.703725,1048576,random,AMD Radeon Graphics 0
task63,Kernel,22.7487,23.4541,0.70537,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task66)-from-0-to-1,MemFlushOut,23.4541,23.455,0.000833035,0,random,AMD Radeon Graphics 1
task72,Kernel,23.4419,24.1438,0.701883,1048576,random,AMD Radeon Graphics 0
task66,Kernel,23.455,24.1613,0.706338,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task65)-from-0-to-1,MemFlushOut,24.1613,24.1621,0.000835657,0,random,AMD Radeon Graphics 1
task78,Kernel,24.1438,24.8526,0.708792,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task69)-from-1-to-0,MemFlushOut,24.8526,24.8534,0.000833035,0,random,AMD Radeon Graphics 0
task65,Kernel,24.1621,24.8697,0.707566,1048576,random,AMD Radeon Graphics 1
task69,Kernel,24.8534,25.5659,0.712483,1048576,random,AMD Radeon Graphics 0
task70,Kernel,24.8697,25.5863,0.716528,1048576,random,AMD Radeon Graphics 1
task58,Kernel,25.5659,26.2716,0.705731,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task71)-from-1-to-0,MemFlushOut,26.2717,26.2725,0.000849485,0,random,AMD Radeon Graphics 0
task82,Kernel,25.5863,26.2925,0.7062,1048576,random,AMD Radeon Graphics 1
task71,Kernel,26.2725,26.9863,0.713807,1048576,random,AMD Radeon Graphics 0
task88,Kernel,26.2925,27.0026,0.710176,1048576,random,AMD Radeon Graphics 1
task80,Kernel,26.9863,27.6861,0.699757,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task67)-from-1-to-0,MemFlushOut,27.6861,27.6869,0.000831842,0,random,AMD Radeon Graphics 0
task62,Kernel,27.0027,27.7076,0.704955,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task75)-from-0-to-1,MemFlushOut,27.7076,27.7085,0.000846624,0,random,AMD Radeon Graphics 1
task67,Kernel,27.6869,28.3882,0.701244,1048576,random,AMD Radeon Graphics 0
task75,Kernel,27.7085,28.4141,0.705651,1048576,random,AMD Radeon Graphics 1
task68,Kernel,28.3882,29.0903,0.702069,1048576,random,AMD Radeon Graphics 0
task73,Kernel,28.4141,29.1302,0.716048,1048576,random,AMD Radeon Graphics 1
task77,Kernel,29.0903,29.7966,0.706309,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task97)-from-1-to-0,MemFlushOut,29.7966,29.7974,0.000834465,0,random,AMD Radeon Graphics 0
task90,Kernel,29.1302,29.8396,0.709442,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task76)-from-0-to-1,MemFlushOut,29.8397,29.8405,0.000831366,0,random,AMD Radeon Graphics 1
task97,Kernel,29.7974,30.5039,0.706474,1048576,random,AMD Radeon Graphics 0
task76,Kernel,29.8405,30.5489,0.708394,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task85)-from-0-to-1,MemFlushOut,30.5489,30.5497,0.000836372,0,random,AMD Radeon Graphics 1
task74,Kernel,30.5039,31.2098,0.705858,1048576,random,AMD Radeon Graphics 0
Internal-D2D(task81)-from-1-to-0,MemFlushOut,31.2098,31.2106,0.000856876,0,random,AMD Radeon Graphics 0
task85,Kernel,30.5497,31.256,0.706308,1048576,random,AMD Radeon Graphics 1
task81,Kernel,31.2106,31.9161,0.705451,1048576,random,AMD Radeon Graphics 0
task79,Kernel,31.256,31.9599,0.703825,1048576,random,AMD Radeon Graphics 1
task83,Kernel,31.9161,32.6195,0.703376,1048576,random,AMD Radeon Graphics 0
task94,Kernel,31.9599,32.6677,0.707815,1048576,random,AMD Radeon Graphics 1
Internal-D2D(task120)-from-0-to-1,MemFlushOut,32.6677,32.6685,0.000837803,0,random,AMD Radeon Graphics 1
