taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00785089,0.00983906,0.00198817,0,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00989532,0.0106781,0.000782728,0,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0106838,0.0114586,0.00077486,0,roundrobin,AMD Radeon Graphics 0
task0,Kernel,0.0114636,0.717659,0.706196,1048576,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,0.717735,0.718532,0.000797272,140130293924400,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task2)-to-0,MemFlushOut,0.718539,0.719632,0.00109315,140130293924400,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task1)-to-1,MemFlushOut,0.717769,0.719686,0.00191736,0,roundrobin,AMD Radeon Graphics 1
Internal-H2D(task1)-to-1,MemFlushOut,0.719723,0.720212,0.000488997,0,roundrobin,AMD Radeon Graphics 1
Internal-H2D(task2)-to-0,MemFlushOut,0.719638,0.720419,0.000781775,140130293924400,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task1)-to-1,MemFlushOut,0.720217,0.720688,0.0004704,0,roundrobin,AMD Radeon Graphics 1
task2,Kernel,0.720425,1.44918,0.728755,1048576,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,1.44921,1.45005,0.000844002,0,roundrobin,AMD Radeon Graphics 0
Internal-H2D(task4)-to-0,MemFlushOut,1.45006,1.45084,0.00077939,0,roundrobin,AMD Radeon Graphics 0
task1,Kernel,0.720694,1.45094,0.730242,1048576,roundrobin,AMD Radeon Graphics 1
Internal-H2D(task3)-to-1,MemFlushOut,1.45096,1.45147,0.000510454,0,roundrobin,AMD Radeon Graphics 1
Internal-H2D(task4)-to-0,MemFlushOut,1.45084,1.45162,0.000780821,0,roundrobin,AMD Radeon Graphics 0
