taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0623174,0.0649123,0.00259495,0,sdq,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0650094,0.0655649,0.000555515,0,sdq,AMD Radeon Graphics 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0655768,0.0660999,0.00052309,0,sdq,AMD Radeon Graphics 0
task0,Kernel,0.0661135,0.79204,0.725927,1048576,sdq,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.792443,0.795485,0.00304222,0,sdq,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.795586,0.797391,0.00180507,0,sdq,AMD Radeon Graphics 0
Internal-H2D(task1)-to-0,MemFlushOut,0.797485,0.798216,0.000731468,0,sdq,AMD Radeon Graphics 0
Internal-H2D(task2)-to-1,MemFlushOut,0.792737,0.800307,0.00757051,140298830840368,sdq,AMD Radeon Graphics 1
Internal-H2D(task2)-to-1,MemFlushOut,0.800394,0.802075,0.00168061,140298830840368,sdq,AMD Radeon Graphics 1
Internal-H2D(task2)-to-1,MemFlushOut,0.802117,0.803368,0.0012517,140298830840368,sdq,AMD Radeon Graphics 1
task1,Kernel,0.798236,1.50606,0.70782,1048576,sdq,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,1.50618,1.50696,0.000784636,0,sdq,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,1.50698,1.50749,0.0005126,0,sdq,AMD Radeon Graphics 0
Internal-H2D(task3)-to-0,MemFlushOut,1.5075,1.50799,0.000490665,0,sdq,AMD Radeon Graphics 0
task2,Kernel,0.803396,1.51108,0.707682,1048576,sdq,AMD Radeon Graphics 1
Internal-H2D(task4)-to-1,MemFlushOut,1.51117,1.51259,0.00141859,0,sdq,AMD Radeon Graphics 1
Internal-H2D(task4)-to-1,MemFlushOut,1.51262,1.51354,0.00092721,0,sdq,AMD Radeon Graphics 1
Internal-H2D(task4)-to-1,MemFlushOut,1.51356,1.5143,0.00074029,0,sdq,AMD Radeon Graphics 1
task4,Kernel,1.51432,2.23319,0.718863,1048576,sdq,AMD Radeon Graphics 1
