taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00753307,0.00885463,0.00132155,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00892663,0.00977755,0.000850916,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00979185,0.0106041,0.000812292,0,depend,Tesla V100-SXM2-16GB 0
task0,Kernel,0.0106173,0.121392,0.110774,1048576,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.122751,0.123599,0.000848055,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.123613,0.124425,0.000812054,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.124437,0.12523,0.000792503,0,depend,Tesla V100-SXM2-16GB 0
task1,Kernel,0.125241,0.229821,0.10458,1048576,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.229834,0.230627,0.00079298,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.230638,0.231419,0.000781059,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.231431,0.232211,0.000780344,0,depend,Tesla V100-SXM2-16GB 0
task2,Kernel,0.232222,0.332736,0.100513,1048576,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.332753,0.333564,0.000810862,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.333574,0.334364,0.000789642,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.334374,0.335156,0.000782251,0,depend,Tesla V100-SXM2-16GB 0
task3,Kernel,0.335167,0.430003,0.0948365,1048576,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.430016,0.4308,0.000784397,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.430811,0.431583,0.000771761,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.431593,0.432362,0.000769377,0,depend,Tesla V100-SXM2-16GB 0
task4,Kernel,0.432373,0.526905,0.0945325,1048576,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.526919,0.527729,0.000809908,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.527739,0.528514,0.000775099,0,depend,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.528524,0.529294,0.00077033,0,depend,Tesla V100-SXM2-16GB 0
task5,Kernel,0.529305,0.623858,0.0945532,1048576,depend,Tesla V100-SXM2-16GB 0
task6,Kernel,0.62387,0.718345,0.0944746,1048576,depend,Tesla V100-SXM2-16GB 0
task16,Kernel,0.718354,0.812777,0.0944223,1048576,depend,Tesla V100-SXM2-16GB 0
task7,Kernel,0.812787,0.907274,0.0944877,1048576,depend,Tesla V100-SXM2-16GB 0
task8,Kernel,0.907284,1.0019,0.0946183,1048576,depend,Tesla V100-SXM2-16GB 0
task10,Kernel,1.00191,1.09632,0.0944047,1048576,depend,Tesla V100-SXM2-16GB 0
task12,Kernel,1.09633,1.19084,0.0945091,1048576,depend,Tesla V100-SXM2-16GB 0
task19,Kernel,1.19085,1.28533,0.0944822,1048576,depend,Tesla V100-SXM2-16GB 0
task20,Kernel,1.28534,1.37984,0.0944989,1048576,depend,Tesla V100-SXM2-16GB 0
task9,Kernel,1.37985,1.47433,0.0944853,1048576,depend,Tesla V100-SXM2-16GB 0
task11,Kernel,1.47434,1.5689,0.0945585,1048576,depend,Tesla V100-SXM2-16GB 0
task13,Kernel,1.56891,1.6635,0.0945866,1048576,depend,Tesla V100-SXM2-16GB 0
task18,Kernel,1.66351,1.75803,0.0945225,1048576,depend,Tesla V100-SXM2-16GB 0
task17,Kernel,1.75804,1.85254,0.0945024,1048576,depend,Tesla V100-SXM2-16GB 0
task15,Kernel,1.85255,1.94701,0.0944645,1048576,depend,Tesla V100-SXM2-16GB 0
task14,Kernel,1.94703,2.04169,0.094667,1048576,depend,Tesla V100-SXM2-16GB 0
task26,Kernel,2.0417,2.13614,0.09444,1048576,depend,Tesla V100-SXM2-16GB 0
task24,Kernel,2.13615,2.23064,0.0944862,1048576,depend,Tesla V100-SXM2-16GB 0
task27,Kernel,2.23065,2.32517,0.0945261,1048576,depend,Tesla V100-SXM2-16GB 0
task22,Kernel,2.32518,2.41971,0.0945218,1048576,depend,Tesla V100-SXM2-16GB 0
task21,Kernel,2.41971,2.51445,0.0947328,1048576,depend,Tesla V100-SXM2-16GB 0
task23,Kernel,2.51446,2.60887,0.0944095,1048576,depend,Tesla V100-SXM2-16GB 0
task30,Kernel,2.60888,2.70383,0.0949526,1048576,depend,Tesla V100-SXM2-16GB 0
task29,Kernel,2.70384,2.7984,0.0945575,1048576,depend,Tesla V100-SXM2-16GB 0
task34,Kernel,2.7984,2.89297,0.094564,1048576,depend,Tesla V100-SXM2-16GB 0
task41,Kernel,2.89298,2.9874,0.0944202,1048576,depend,Tesla V100-SXM2-16GB 0
task38,Kernel,2.98741,3.0819,0.0944939,1048576,depend,Tesla V100-SXM2-16GB 0
task33,Kernel,3.08191,3.17641,0.0944965,1048576,depend,Tesla V100-SXM2-16GB 0
task39,Kernel,3.17641,3.27098,0.0945671,1048576,depend,Tesla V100-SXM2-16GB 0
task25,Kernel,3.271,3.36551,0.0945098,1048576,depend,Tesla V100-SXM2-16GB 0
