taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-1,MemFlushOut,0.00620437,0.0074954,0.00129104,0,ftf,Tesla V100-SXM2-16GB 1
Internal-H2D(task0)-to-1,MemFlushOut,0.00756884,0.00841713,0.000848293,0,ftf,Tesla V100-SXM2-16GB 1
Internal-H2D(task0)-to-1,MemFlushOut,0.00843048,0.00922704,0.000796556,0,ftf,Tesla V100-SXM2-16GB 1
task0,Kernel,0.00924015,0.104092,0.0948522,1048576,ftf,Tesla V100-SXM2-16GB 1
Internal-H2D(task2)-to-1,MemFlushOut,0.105539,0.110717,0.00517797,0,ftf,Tesla V100-SXM2-16GB 1
Internal-H2D(task1)-to-0,MemFlushOut,0.110069,0.117964,0.00789475,0,ftf,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-1,MemFlushOut,0.11073,0.118161,0.00743127,0,ftf,Tesla V100-SXM2-16GB 1
Internal-H2D(task5)-to-3,MemFlushOut,0.110903,0.118464,0.00756168,0,ftf,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-4,MemFlushOut,0.112379,0.118764,0.00638437,0,ftf,Tesla V100-SXM2-16GB 4
Internal-H2D(task3)-to-2,MemFlushOut,0.111641,0.118764,0.00712276,0,ftf,Tesla V100-SXM2-16GB 2
Internal-H2D(task1)-to-0,MemFlushOut,0.118048,0.119746,0.00169778,0,ftf,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-1,MemFlushOut,0.118175,0.120216,0.00204182,0,ftf,Tesla V100-SXM2-16GB 1
Internal-D2D(task6)-from-1-to-5,MemFlushOut,0.118809,0.120464,0.0016551,0,ftf,Tesla V100-SXM2-16GB 5
Internal-H2D(task5)-to-3,MemFlushOut,0.11848,0.120554,0.002074,0,ftf,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-4,MemFlushOut,0.118792,0.121196,0.00240397,0,ftf,Tesla V100-SXM2-16GB 4
Internal-H2D(task3)-to-2,MemFlushOut,0.118807,0.121408,0.00260091,0,ftf,Tesla V100-SXM2-16GB 2
Internal-H2D(task1)-to-0,MemFlushOut,0.119761,0.121792,0.00203133,0,ftf,Tesla V100-SXM2-16GB 0
Internal-D2D(task6)-from-1-to-5,MemFlushOut,0.121746,0.121915,0.0001688,0,ftf,Tesla V100-SXM2-16GB 5
Internal-H2D(task5)-to-3,MemFlushOut,0.120569,0.122626,0.00205731,0,ftf,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-4,MemFlushOut,0.121216,0.123299,0.0020833,0,ftf,Tesla V100-SXM2-16GB 4
Internal-D2D(task6)-from-1-to-5,MemFlushOut,0.123107,0.123505,0.000397921,0,ftf,Tesla V100-SXM2-16GB 5
Internal-H2D(task3)-to-2,MemFlushOut,0.121427,0.12351,0.0020833,0,ftf,Tesla V100-SXM2-16GB 2
task2,Kernel,0.120229,0.215285,0.0950561,1048576,ftf,Tesla V100-SXM2-16GB 1
Internal-D2D(task16)-from-2-to-1,MemFlushOut,0.215715,0.215869,0.00015378,0,ftf,Tesla V100-SXM2-16GB 1
Internal-D2D(task16)-from-2-to-1,MemFlushOut,0.216235,0.216325,8.96454e-05,0,ftf,Tesla V100-SXM2-16GB 1
task1,Kernel,0.121805,0.216442,0.0946369,1048576,ftf,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-2-to-1,MemFlushOut,0.216717,0.216804,8.70228e-05,0,ftf,Tesla V100-SXM2-16GB 1
task5,Kernel,0.122639,0.217225,0.0945859,1048576,ftf,Tesla V100-SXM2-16GB 3
task4,Kernel,0.123326,0.217867,0.0945406,1048576,ftf,Tesla V100-SXM2-16GB 4
task3,Kernel,0.123536,0.218221,0.0946853,1048576,ftf,Tesla V100-SXM2-16GB 2
Internal-D2D(task8)-from-1-to-3,MemFlushOut,0.218551,0.218675,0.000123739,0,ftf,Tesla V100-SXM2-16GB 3
Internal-D2D(task8)-from-1-to-3,MemFlushOut,0.219059,0.219151,9.17912e-05,0,ftf,Tesla V100-SXM2-16GB 3
Internal-D2D(task8)-from-1-to-3,MemFlushOut,0.219512,0.2196,8.82149e-05,0,ftf,Tesla V100-SXM2-16GB 3
Internal-D2D(task10)-from-3-to-4,MemFlushOut,0.218688,0.220408,0.00171995,0,ftf,Tesla V100-SXM2-16GB 4
Internal-D2D(task12)-from-4-to-2,MemFlushOut,0.220944,0.221205,0.00026083,0,ftf,Tesla V100-SXM2-16GB 2
Internal-D2D(task10)-from-3-to-4,MemFlushOut,0.221063,0.22131,0.000247002,0,ftf,Tesla V100-SXM2-16GB 4
Internal-D2D(task12)-from-4-to-2,MemFlushOut,0.221852,0.222086,0.00023365,0,ftf,Tesla V100-SXM2-16GB 2
Internal-D2D(task10)-from-3-to-4,MemFlushOut,0.221975,0.222188,0.000212431,0,ftf,Tesla V100-SXM2-16GB 4
Internal-D2D(task12)-from-4-to-2,MemFlushOut,0.222539,0.222655,0.000116587,0,ftf,Tesla V100-SXM2-16GB 2
task6,Kernel,0.123524,0.310788,0.187264,1048576,ftf,Tesla V100-SXM2-16GB 5
Internal-D2D(task19)-from-3-to-5,MemFlushOut,0.311258,0.3114,0.000142097,0,ftf,Tesla V100-SXM2-16GB 5
task7,Kernel,0.216928,0.311508,0.0945795,1048576,ftf,Tesla V100-SXM2-16GB 0
Internal-D2D(task19)-from-3-to-5,MemFlushOut,0.312727,0.312859,0.000131845,0,ftf,Tesla V100-SXM2-16GB 5
Internal-D2D(task20)-from-2-to-0,MemFlushOut,0.31287,0.312992,0.00012207,0,ftf,Tesla V100-SXM2-16GB 0
Internal-D2D(task19)-from-3-to-5,MemFlushOut,0.313517,0.313646,0.000129223,0,ftf,Tesla V100-SXM2-16GB 5
Internal-D2D(task20)-from-1-to-0,MemFlushOut,0.313642,0.313738,9.53674e-05,0,ftf,Tesla V100-SXM2-16GB 0
task16,Kernel,0.216814,0.314015,0.0972016,1048576,ftf,Tesla V100-SXM2-16GB 1
Internal-D2D(task9)-from-5-to-1,MemFlushOut,0.314027,0.314164,0.000136614,0,ftf,Tesla V100-SXM2-16GB 1
