taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0073185,0.00860739,0.00128889,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0086689,0.00950933,0.000840425,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00952244,0.0103152,0.000792742,0,profile,Tesla V100-SXM2-16GB 0
task0,Kernel,0.0103271,0.10488,0.0945532,1048576,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.106234,0.107077,0.000842333,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.107089,0.107876,0.00078702,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.107887,0.10866,0.000772476,0,profile,Tesla V100-SXM2-16GB 0
task1,Kernel,0.10867,0.203144,0.0944734,1048576,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.203157,0.203958,0.000801086,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.203968,0.204743,0.000775099,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task2)-to-0,MemFlushOut,0.204752,0.205519,0.000766754,0,profile,Tesla V100-SXM2-16GB 0
task2,Kernel,0.205529,0.300204,0.0946755,1048576,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.300218,0.301005,0.00078702,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.301014,0.301792,0.000777483,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-0,MemFlushOut,0.301801,0.302577,0.000775337,0,profile,Tesla V100-SXM2-16GB 0
task3,Kernel,0.302586,0.397249,0.0946627,1048576,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.397261,0.398043,0.000781536,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.398053,0.398823,0.000770092,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task4)-to-0,MemFlushOut,0.398832,0.399598,0.0007658,0,profile,Tesla V100-SXM2-16GB 0
task4,Kernel,0.399607,0.494188,0.0945809,1048576,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.494201,0.494976,0.00077486,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.494985,0.495754,0.0007689,0,profile,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.495763,0.496527,0.000763416,0,profile,Tesla V100-SXM2-16GB 0
task5,Kernel,0.496536,0.591111,0.0945752,1048576,profile,Tesla V100-SXM2-16GB 0
task6,Kernel,0.591124,0.685561,0.0944371,1048576,profile,Tesla V100-SXM2-16GB 0
task16,Kernel,0.685571,0.780098,0.0945277,1048576,profile,Tesla V100-SXM2-16GB 0
task7,Kernel,0.780108,0.874799,0.0946918,1048576,profile,Tesla V100-SXM2-16GB 0
task8,Kernel,0.87481,0.969332,0.0945222,1048576,profile,Tesla V100-SXM2-16GB 0
task10,Kernel,0.969348,1.06382,0.0944698,1048576,profile,Tesla V100-SXM2-16GB 0
task12,Kernel,1.06383,1.15827,0.0944381,1048576,profile,Tesla V100-SXM2-16GB 0
task19,Kernel,1.15827,1.25297,0.0946963,1048576,profile,Tesla V100-SXM2-16GB 0
task20,Kernel,1.25298,1.34755,0.094569,1048576,profile,Tesla V100-SXM2-16GB 0
task9,Kernel,1.34757,1.44223,0.0946643,1048576,profile,Tesla V100-SXM2-16GB 0
task11,Kernel,1.44224,1.53691,0.0946662,1048576,profile,Tesla V100-SXM2-16GB 0
task13,Kernel,1.53691,1.63149,0.0945709,1048576,profile,Tesla V100-SXM2-16GB 0
task18,Kernel,1.6315,1.726,0.0945015,1048576,profile,Tesla V100-SXM2-16GB 0
task17,Kernel,1.72601,1.82042,0.0944088,1048576,profile,Tesla V100-SXM2-16GB 0
