taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-3,MemFlushOut,0.00568032,0.00702763,0.0013473,0,random,Tesla V100-SXM2-16GB 3
Internal-H2D(task0)-to-3,MemFlushOut,0.00708127,0.00792766,0.000846386,0,random,Tesla V100-SXM2-16GB 3
Internal-H2D(task0)-to-3,MemFlushOut,0.00794053,0.00875068,0.000810146,0,random,Tesla V100-SXM2-16GB 3
task0,Kernel,0.00876236,0.119567,0.110805,1048576,random,Tesla V100-SXM2-16GB 3
Internal-H2D(task3)-to-3,MemFlushOut,0.120996,0.124757,0.00376105,0,random,Tesla V100-SXM2-16GB 3
Internal-H2D(task2)-to-5,MemFlushOut,0.124189,0.131312,0.00712276,0,random,Tesla V100-SXM2-16GB 5
Internal-H2D(task3)-to-3,MemFlushOut,0.124771,0.131397,0.00662637,0,random,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-0,MemFlushOut,0.124927,0.131921,0.00699401,0,random,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-2,MemFlushOut,0.125664,0.131939,0.0062747,0,random,Tesla V100-SXM2-16GB 2
Internal-H2D(task2)-to-5,MemFlushOut,0.131338,0.133288,0.00195003,0,random,Tesla V100-SXM2-16GB 5
Internal-H2D(task3)-to-3,MemFlushOut,0.131414,0.133678,0.00226378,0,random,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-0,MemFlushOut,0.131955,0.134122,0.00216699,0,random,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-2,MemFlushOut,0.131987,0.134439,0.00245214,0,random,Tesla V100-SXM2-16GB 2
Internal-H2D(task2)-to-5,MemFlushOut,0.133303,0.134566,0.00126266,0,random,Tesla V100-SXM2-16GB 5
Internal-H2D(task4)-to-0,MemFlushOut,0.134145,0.13568,0.00153589,0,random,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-2,MemFlushOut,0.134451,0.13579,0.00133944,0,random,Tesla V100-SXM2-16GB 2
task3,Kernel,0.133691,0.234173,0.100482,1048576,random,Tesla V100-SXM2-16GB 3
task2,Kernel,0.13458,0.245198,0.110618,1048576,random,Tesla V100-SXM2-16GB 5
task1,Kernel,0.1358,0.245536,0.109736,1048576,random,Tesla V100-SXM2-16GB 2
Internal-D2D(task6)-from-3-to-2,MemFlushOut,0.245971,0.24614,0.0001688,0,random,Tesla V100-SXM2-16GB 2
task4,Kernel,0.135706,0.246398,0.110692,1048576,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task6)-from-3-to-2,MemFlushOut,0.246826,0.246934,0.000108242,0,random,Tesla V100-SXM2-16GB 2
Internal-D2D(task6)-from-3-to-2,MemFlushOut,0.247449,0.247628,0.000179529,0,random,Tesla V100-SXM2-16GB 2
Internal-H2D(task5)-to-0,MemFlushOut,0.246408,0.24772,0.00131154,0,random,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.24773,0.248625,0.000894785,0,random,Tesla V100-SXM2-16GB 0
Internal-H2D(task5)-to-0,MemFlushOut,0.248634,0.249442,0.000807285,0,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task7)-from-2-to-1,MemFlushOut,0.249722,0.249846,0.000124216,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task7)-from-2-to-1,MemFlushOut,0.250237,0.250326,8.82149e-05,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task7)-from-2-to-1,MemFlushOut,0.250703,0.250788,8.55923e-05,0,random,Tesla V100-SXM2-16GB 1
task6,Kernel,0.247658,0.348296,0.100638,1048576,random,Tesla V100-SXM2-16GB 2
task5,Kernel,0.249451,0.355194,0.105743,1048576,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-3-to-0,MemFlushOut,0.355644,0.355767,0.000122547,0,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-3-to-0,MemFlushOut,0.35616,0.356265,0.000104904,0,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-3-to-0,MemFlushOut,0.356628,0.356731,0.000103474,0,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task10)-from-0-to-2,MemFlushOut,0.357274,0.357398,0.000123501,0,random,Tesla V100-SXM2-16GB 2
Internal-D2D(task10)-from-0-to-2,MemFlushOut,0.358912,0.359004,9.29832e-05,0,random,Tesla V100-SXM2-16GB 2
Internal-D2D(task10)-from-0-to-2,MemFlushOut,0.360765,0.360856,9.05991e-05,0,random,Tesla V100-SXM2-16GB 2
Internal-D2D(task12)-from-0-to-4,MemFlushOut,0.360918,0.361028,0.000110149,0,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task12)-from-0-to-4,MemFlushOut,0.361418,0.361508,9.05991e-05,0,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task12)-from-0-to-4,MemFlushOut,0.361894,0.36198,8.63075e-05,0,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task19)-from-0-to-3,MemFlushOut,0.363247,0.363355,0.000107765,0,random,Tesla V100-SXM2-16GB 3
Internal-D2D(task19)-from-0-to-3,MemFlushOut,0.363718,0.363809,9.15527e-05,0,random,Tesla V100-SXM2-16GB 3
Internal-D2D(task19)-from-0-to-3,MemFlushOut,0.364165,0.364254,8.96454e-05,0,random,Tesla V100-SXM2-16GB 3
task16,Kernel,0.356741,0.457339,0.100598,1048576,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task8)-from-5-to-0,MemFlushOut,0.457745,0.457872,0.000126839,0,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task8)-from-5-to-0,MemFlushOut,0.458253,0.458336,8.29697e-05,0,random,Tesla V100-SXM2-16GB 0
Internal-D2D(task8)-from-5-to-0,MemFlushOut,0.45871,0.45879,7.98702e-05,0,random,Tesla V100-SXM2-16GB 0
task7,Kernel,0.250798,0.459981,0.209183,1048576,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task9)-from-2-to-1,MemFlushOut,0.460386,0.460502,0.000116587,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task9)-from-2-to-1,MemFlushOut,0.460883,0.460974,9.05991e-05,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task9)-from-2-to-1,MemFlushOut,0.461356,0.461442,8.58307e-05,0,random,Tesla V100-SXM2-16GB 1
task10,Kernel,0.360865,0.553223,0.192358,1048576,random,Tesla V100-SXM2-16GB 2
task19,Kernel,0.364264,0.554937,0.190673,1048576,random,Tesla V100-SXM2-16GB 3
Internal-D2D(task18)-from-1-to-3,MemFlushOut,0.554959,0.555085,0.000126362,0,random,Tesla V100-SXM2-16GB 3
task8,Kernel,0.4588,0.556483,0.0976837,1048576,random,Tesla V100-SXM2-16GB 0
task12,Kernel,0.36199,0.569818,0.207828,1048576,random,Tesla V100-SXM2-16GB 4
task20,Kernel,0.556494,0.65103,0.0945361,1048576,random,Tesla V100-SXM2-16GB 0
task9,Kernel,0.461451,0.654569,0.193118,1048576,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task11)-from-0-to-1,MemFlushOut,0.654952,0.655078,0.000126362,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task11)-from-0-to-1,MemFlushOut,0.655447,0.655565,0.000118494,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task11)-from-0-to-1,MemFlushOut,0.655959,0.656081,0.000121593,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task14)-from-1-to-2,MemFlushOut,0.656793,0.656913,0.000120163,0,random,Tesla V100-SXM2-16GB 2
task17,Kernel,0.569829,0.679904,0.110075,1048576,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task15)-from-3-to-4,MemFlushOut,0.680357,0.680473,0.000115395,0,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task15)-from-0-to-4,MemFlushOut,0.680838,0.680924,8.58307e-05,0,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task15)-from-0-to-4,MemFlushOut,0.691139,0.691212,7.27177e-05,0,random,Tesla V100-SXM2-16GB 4
task18,Kernel,0.555095,0.749503,0.194408,1048576,random,Tesla V100-SXM2-16GB 3
task11,Kernel,0.65609,0.753234,0.0971437,1048576,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task13)-from-0-to-1,MemFlushOut,0.753615,0.753727,0.000112295,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task13)-from-0-to-1,MemFlushOut,0.754083,0.754172,8.89301e-05,0,random,Tesla V100-SXM2-16GB 1
Internal-D2D(task13)-from-0-to-1,MemFlushOut,0.754527,0.754613,8.58307e-05,0,random,Tesla V100-SXM2-16GB 1
task24,Kernel,0.750857,0.845384,0.0945275,1048576,random,Tesla V100-SXM2-16GB 0
task14,Kernel,0.656925,0.848375,0.19145,1048576,random,Tesla V100-SXM2-16GB 2
task15,Kernel,0.691221,0.850318,0.159097,1048576,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task27)-from-1-to-4,MemFlushOut,0.85069,0.850806,0.000116348,0,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task27)-from-0-to-4,MemFlushOut,0.851161,0.851262,0.000100851,0,random,Tesla V100-SXM2-16GB 4
Internal-D2D(task27)-from-0-to-4,MemFlushOut,0.851614,0.8517,8.60691e-05,0,random,Tesla V100-SXM2-16GB 4
