taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0148473,0.0161672,0.00131989,0,roundrobin,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0162313,0.0171108,0.000879526,0,roundrobin,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0171237,0.0179453,0.00082159,0,roundrobin,Tesla V100-SXM2-16GB 0
task0,Kernel,0.0179567,0.127668,0.109711,1048576,roundrobin,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-1,MemFlushOut,0.131573,0.135335,0.00376201,0,roundrobin,Tesla V100-SXM2-16GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.131649,0.135899,0.00424933,0,roundrobin,Tesla V100-SXM2-16GB 2
Internal-H2D(task5)-to-5,MemFlushOut,0.131712,0.136403,0.00469136,0,roundrobin,Tesla V100-SXM2-16GB 5
Internal-H2D(task3)-to-3,MemFlushOut,0.13179,0.136886,0.0050962,0,roundrobin,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-4,MemFlushOut,0.132473,0.137413,0.00494003,0,roundrobin,Tesla V100-SXM2-16GB 4
Internal-H2D(task1)-to-1,MemFlushOut,0.135399,0.138023,0.00262451,0,roundrobin,Tesla V100-SXM2-16GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.135946,0.138522,0.00257635,0,roundrobin,Tesla V100-SXM2-16GB 2
Internal-H2D(task5)-to-5,MemFlushOut,0.136436,0.139173,0.00273728,0,roundrobin,Tesla V100-SXM2-16GB 5
Internal-H2D(task3)-to-3,MemFlushOut,0.136935,0.139703,0.00276709,0,roundrobin,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-4,MemFlushOut,0.137472,0.140411,0.00293851,0,roundrobin,Tesla V100-SXM2-16GB 4
Internal-H2D(task1)-to-1,MemFlushOut,0.138053,0.140881,0.00282836,0,roundrobin,Tesla V100-SXM2-16GB 1
Internal-H2D(task2)-to-2,MemFlushOut,0.138606,0.141362,0.00275612,0,roundrobin,Tesla V100-SXM2-16GB 2
Internal-H2D(task5)-to-5,MemFlushOut,0.139214,0.14231,0.00309587,0,roundrobin,Tesla V100-SXM2-16GB 5
Internal-H2D(task3)-to-3,MemFlushOut,0.13975,0.142942,0.00319195,0,roundrobin,Tesla V100-SXM2-16GB 3
Internal-H2D(task4)-to-4,MemFlushOut,0.140451,0.14321,0.00275898,0,roundrobin,Tesla V100-SXM2-16GB 4
task6,Kernel,0.129116,0.236183,0.107067,1048576,roundrobin,Tesla V100-SXM2-16GB 0
task1,Kernel,0.14092,0.251786,0.110866,1048576,roundrobin,Tesla V100-SXM2-16GB 1
task2,Kernel,0.141429,0.252241,0.110812,1048576,roundrobin,Tesla V100-SXM2-16GB 2
task5,Kernel,0.142363,0.252394,0.110031,1048576,roundrobin,Tesla V100-SXM2-16GB 5
Internal-D2D(task16)-from-3-to-1,MemFlushOut,0.25257,0.252869,0.000298738,0,roundrobin,Tesla V100-SXM2-16GB 1
task3,Kernel,0.142975,0.253259,0.110284,1048576,roundrobin,Tesla V100-SXM2-16GB 3
Internal-D2D(task9)-from-0-to-2,MemFlushOut,0.253217,0.253574,0.000357389,0,roundrobin,Tesla V100-SXM2-16GB 2
Internal-D2D(task13)-from-2-to-0,MemFlushOut,0.253384,0.253778,0.000394583,0,roundrobin,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-3-to-1,MemFlushOut,0.253679,0.253838,0.000158548,0,roundrobin,Tesla V100-SXM2-16GB 1
task4,Kernel,0.143228,0.253956,0.110728,1048576,roundrobin,Tesla V100-SXM2-16GB 4
Internal-D2D(task9)-from-0-to-2,MemFlushOut,0.254867,0.255282,0.000414371,0,roundrobin,Tesla V100-SXM2-16GB 2
Internal-D2D(task16)-from-3-to-1,MemFlushOut,0.25526,0.255398,0.000138044,0,roundrobin,Tesla V100-SXM2-16GB 1
Internal-D2D(task13)-from-2-to-0,MemFlushOut,0.255103,0.255443,0.000340223,0,roundrobin,Tesla V100-SXM2-16GB 0
Internal-D2D(task7)-from-1-to-4,MemFlushOut,0.255481,0.255684,0.000202894,0,roundrobin,Tesla V100-SXM2-16GB 4
