taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00748634,0.00879812,0.00131178,0,sdq,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00886822,0.00971699,0.00084877,0,sdq,Tesla V100-SXM2-16GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00972867,0.0105371,0.000808477,0,sdq,Tesla V100-SXM2-16GB 0
task0,Kernel,0.0105488,0.105135,0.0945859,1048576,sdq,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.10659,0.112567,0.00597668,0,sdq,Tesla V100-SXM2-16GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.112581,0.120437,0.00785613,0,sdq,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-2,MemFlushOut,0.112718,0.121151,0.0084331,0,sdq,Tesla V100-SXM2-16GB 2
Internal-D2D(task6)-from-0-to-5,MemFlushOut,0.119663,0.121145,0.00148296,0,sdq,Tesla V100-SXM2-16GB 5
Internal-H2D(task5)-to-4,MemFlushOut,0.113454,0.121278,0.00782347,0,sdq,Tesla V100-SXM2-16GB 4
Internal-H2D(task4)-to-3,MemFlushOut,0.1142,0.121281,0.00708032,0,sdq,Tesla V100-SXM2-16GB 3
Internal-H2D(task2)-to-1,MemFlushOut,0.114938,0.121426,0.00648761,0,sdq,Tesla V100-SXM2-16GB 1
Internal-H2D(task1)-to-0,MemFlushOut,0.120449,0.123164,0.00271487,0,sdq,Tesla V100-SXM2-16GB 0
Internal-H2D(task3)-to-2,MemFlushOut,0.121212,0.123486,0.00227475,0,sdq,Tesla V100-SXM2-16GB 2
Internal-D2D(task6)-from-0-to-5,MemFlushOut,0.12317,0.123492,0.000321627,0,sdq,Tesla V100-SXM2-16GB 5
Internal-H2D(task5)-to-4,MemFlushOut,0.121326,0.124172,0.002846,0,sdq,Tesla V100-SXM2-16GB 4
Internal-H2D(task4)-to-3,MemFlushOut,0.12135,0.124183,0.00283384,0,sdq,Tesla V100-SXM2-16GB 3
Internal-H2D(task2)-to-1,MemFlushOut,0.121439,0.124858,0.00341892,0,sdq,Tesla V100-SXM2-16GB 1
Internal-H2D(task3)-to-2,MemFlushOut,0.123516,0.125032,0.00151682,0,sdq,Tesla V100-SXM2-16GB 2
Internal-D2D(task6)-from-0-to-5,MemFlushOut,0.124947,0.12512,0.00017333,0,sdq,Tesla V100-SXM2-16GB 5
Internal-H2D(task5)-to-4,MemFlushOut,0.124205,0.126178,0.00197315,0,sdq,Tesla V100-SXM2-16GB 4
Internal-H2D(task4)-to-3,MemFlushOut,0.124233,0.126316,0.0020833,0,sdq,Tesla V100-SXM2-16GB 3
Internal-H2D(task2)-to-1,MemFlushOut,0.124894,0.126546,0.001652,0,sdq,Tesla V100-SXM2-16GB 1
task1,Kernel,0.123175,0.217809,0.0946341,1048576,sdq,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-2-to-0,MemFlushOut,0.218245,0.218394,0.000148773,0,sdq,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-2-to-0,MemFlushOut,0.21876,0.21885,8.96454e-05,0,sdq,Tesla V100-SXM2-16GB 0
Internal-D2D(task16)-from-2-to-0,MemFlushOut,0.219204,0.219291,8.70228e-05,0,sdq,Tesla V100-SXM2-16GB 0
task3,Kernel,0.125047,0.219623,0.0945756,1048576,sdq,Tesla V100-SXM2-16GB 2
task5,Kernel,0.126205,0.220822,0.0946164,1048576,sdq,Tesla V100-SXM2-16GB 4
task4,Kernel,0.126327,0.220858,0.0945311,1048576,sdq,Tesla V100-SXM2-16GB 3
task2,Kernel,0.126556,0.221411,0.0948555,1048576,sdq,Tesla V100-SXM2-16GB 1
Internal-D2D(task10)-from-4-to-3,MemFlushOut,0.22262,0.222732,0.000112295,0,sdq,Tesla V100-SXM2-16GB 3
Internal-D2D(task8)-from-1-to-2,MemFlushOut,0.222447,0.222934,0.000486851,0,sdq,Tesla V100-SXM2-16GB 2
Internal-D2D(task7)-from-0-to-1,MemFlushOut,0.222765,0.223077,0.000311136,0,sdq,Tesla V100-SXM2-16GB 1
Internal-D2D(task10)-from-4-to-3,MemFlushOut,0.223515,0.223616,0.000101805,0,sdq,Tesla V100-SXM2-16GB 3
Internal-D2D(task8)-from-1-to-2,MemFlushOut,0.223947,0.224246,0.000298738,0,sdq,Tesla V100-SXM2-16GB 2
Internal-D2D(task10)-from-4-to-3,MemFlushOut,0.224235,0.224335,9.98974e-05,0,sdq,Tesla V100-SXM2-16GB 3
Internal-D2D(task7)-from-0-to-1,MemFlushOut,0.224108,0.224353,0.000244856,0,sdq,Tesla V100-SXM2-16GB 1
Internal-D2D(task8)-from-1-to-2,MemFlushOut,0.224898,0.22513,0.000231981,0,sdq,Tesla V100-SXM2-16GB 2
Internal-D2D(task7)-from-0-to-1,MemFlushOut,0.225018,0.225232,0.000213623,0,sdq,Tesla V100-SXM2-16GB 1
Internal-D2D(task12)-from-3-to-4,MemFlushOut,0.226627,0.226732,0.000104904,0,sdq,Tesla V100-SXM2-16GB 4
Internal-D2D(task12)-from-3-to-4,MemFlushOut,0.227095,0.227171,7.67708e-05,0,sdq,Tesla V100-SXM2-16GB 4
Internal-D2D(task12)-from-3-to-4,MemFlushOut,0.227529,0.227602,7.39098e-05,0,sdq,Tesla V100-SXM2-16GB 4
task6,Kernel,0.125133,0.313371,0.188238,1048576,sdq,Tesla V100-SXM2-16GB 5
task16,Kernel,0.2193,0.315212,0.095912,1048576,sdq,Tesla V100-SXM2-16GB 0
Internal-D2D(task19)-from-3-to-0,MemFlushOut,0.315601,0.315708,0.000106812,0,sdq,Tesla V100-SXM2-16GB 0
Internal-D2D(task19)-from-3-to-0,MemFlushOut,0.316074,0.316171,9.67979e-05,0,sdq,Tesla V100-SXM2-16GB 0
Internal-D2D(task19)-from-3-to-0,MemFlushOut,0.316532,0.316619,8.74996e-05,0,sdq,Tesla V100-SXM2-16GB 0
task10,Kernel,0.224345,0.319038,0.0946934,1048576,sdq,Tesla V100-SXM2-16GB 3
Internal-D2D(task13)-from-1-to-3,MemFlushOut,0.319411,0.319532,0.000120401,0,sdq,Tesla V100-SXM2-16GB 3
Internal-D2D(task13)-from-1-to-3,MemFlushOut,0.319893,0.31999,9.70364e-05,0,sdq,Tesla V100-SXM2-16GB 3
