taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00701976,0.00844026,0.0014205,0,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00851822,0.00939226,0.000874043,0,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0094099,0.0102637,0.000853777,0,depend,Tesla P100-PCIE-12GB 0
task0,Kernel,0.0102801,0.88535,0.87507,1048576,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.885444,0.888973,0.00352907,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.888992,0.889844,0.000851631,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.88986,0.890707,0.000846386,140255616793824,depend,Tesla P100-PCIE-12GB 0
task1,Kernel,0.890722,1.77271,0.881993,1048576,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77273,1.77361,0.000879288,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77363,1.77449,0.0008533,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.7745,1.77536,0.000857115,140255616793824,depend,Tesla P100-PCIE-12GB 0
task2,Kernel,1.77538,2.65192,0.876542,1048576,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65194,2.65282,0.00087595,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65283,2.65371,0.000878572,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65373,2.65459,0.000861645,140255616793824,depend,Tesla P100-PCIE-12GB 0
task3,Kernel,2.65461,3.53645,0.881839,1048576,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.53647,3.53731,0.00084877,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.53733,3.53819,0.000859022,140255616793824,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.53821,3.53908,0.000871181,140255616793824,depend,Tesla P100-PCIE-12GB 0
task4,Kernel,3.53909,4.41219,0.873102,1048576,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.41221,4.41308,0.000870228,0,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.4131,4.41395,0.000855446,0,depend,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.41397,4.41481,0.000844955,0,depend,Tesla P100-PCIE-12GB 0
task5,Kernel,4.41483,5.29642,0.881593,1048576,depend,Tesla P100-PCIE-12GB 0
task6,Kernel,5.29648,6.1738,0.87732,1048576,depend,Tesla P100-PCIE-12GB 0
task16,Kernel,6.17382,7.05227,0.878455,1048576,depend,Tesla P100-PCIE-12GB 0
task7,Kernel,7.05229,7.93273,0.880437,1048576,depend,Tesla P100-PCIE-12GB 0
task8,Kernel,7.93278,8.81052,0.877746,1048576,depend,Tesla P100-PCIE-12GB 0
task10,Kernel,8.81054,9.69439,0.883843,1048576,depend,Tesla P100-PCIE-12GB 0
task12,Kernel,9.69441,10.57,0.875595,1048576,depend,Tesla P100-PCIE-12GB 0
task19,Kernel,10.57,11.4545,0.884478,1048576,depend,Tesla P100-PCIE-12GB 0
task20,Kernel,11.4545,12.3347,0.880162,1048576,depend,Tesla P100-PCIE-12GB 0
task9,Kernel,12.3347,13.208,0.873249,1048576,depend,Tesla P100-PCIE-12GB 0
task11,Kernel,13.208,14.0888,0.880841,1048576,depend,Tesla P100-PCIE-12GB 0
task13,Kernel,14.0889,14.9652,0.876318,1048576,depend,Tesla P100-PCIE-12GB 0
