taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00706601,0.00855851,0.0014925,0,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00862622,0.00948405,0.00085783,0,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00949907,0.0103507,0.000851631,0,ftf,Tesla P100-PCIE-12GB 0
task0,Kernel,0.0103652,0.882085,0.87172,1048576,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.88218,0.885687,0.00350714,140387431927008,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.885705,0.886562,0.000856638,140387431927008,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.886577,0.887412,0.00083518,140387431927008,ftf,Tesla P100-PCIE-12GB 0
task1,Kernel,0.887426,1.7659,0.87847,1048576,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.76592,1.76679,0.000864744,140387431927008,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.7668,1.76764,0.000838995,140387431927008,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.76766,1.76849,0.000834942,140387431927008,ftf,Tesla P100-PCIE-12GB 0
task2,Kernel,1.76851,2.64661,0.878105,1048576,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.64663,2.64749,0.000861406,140387431927008,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.64751,2.64839,0.000878811,140387431927008,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.6484,2.64924,0.000834465,140387431927008,ftf,Tesla P100-PCIE-12GB 0
task3,Kernel,2.64925,3.52763,0.878376,1048576,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.52764,3.5285,0.000854015,140387431927392,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.52851,3.52936,0.000844717,140387431927392,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.52937,3.53024,0.000868082,140387431927392,ftf,Tesla P100-PCIE-12GB 0
task4,Kernel,3.53025,4.40694,0.876682,1048576,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.40695,4.4078,0.000849485,0,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.40782,4.40865,0.000831604,0,ftf,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.40866,4.40949,0.000829935,0,ftf,Tesla P100-PCIE-12GB 0
task5,Kernel,4.40951,5.29012,0.880611,1048576,ftf,Tesla P100-PCIE-12GB 0
task6,Kernel,5.29016,6.1617,0.871534,1048576,ftf,Tesla P100-PCIE-12GB 0
task16,Kernel,6.16171,7.04086,0.879151,1048576,ftf,Tesla P100-PCIE-12GB 0
task7,Kernel,7.04088,7.92111,0.880226,1048576,ftf,Tesla P100-PCIE-12GB 0
task8,Kernel,7.92116,8.79478,0.87362,1048576,ftf,Tesla P100-PCIE-12GB 0
task10,Kernel,8.79479,9.67324,0.87845,1048576,ftf,Tesla P100-PCIE-12GB 0
task12,Kernel,9.67326,10.5519,0.878653,1048576,ftf,Tesla P100-PCIE-12GB 0
task19,Kernel,10.5519,11.4327,0.880809,1048576,ftf,Tesla P100-PCIE-12GB 0
task20,Kernel,11.4328,12.3059,0.87312,1048576,ftf,Tesla P100-PCIE-12GB 0
task9,Kernel,12.3059,13.1839,0.877942,1048576,ftf,Tesla P100-PCIE-12GB 0
task11,Kernel,13.1839,14.0607,0.876821,1048576,ftf,Tesla P100-PCIE-12GB 0
task13,Kernel,14.0607,14.9376,0.876865,1048576,ftf,Tesla P100-PCIE-12GB 0
task18,Kernel,14.9376,15.8147,0.877077,1048576,ftf,Tesla P100-PCIE-12GB 0
task17,Kernel,15.8147,16.6878,0.87305,1048576,ftf,Tesla P100-PCIE-12GB 0
task15,Kernel,16.6878,17.5701,0.882311,1048576,ftf,Tesla P100-PCIE-12GB 0
task14,Kernel,17.5701,18.4481,0.877929,1048576,ftf,Tesla P100-PCIE-12GB 0
task26,Kernel,18.4481,19.3307,0.882623,1048576,ftf,Tesla P100-PCIE-12GB 0
task24,Kernel,19.3307,20.2092,0.878503,1048576,ftf,Tesla P100-PCIE-12GB 0
task27,Kernel,20.2092,21.0879,0.878712,1048576,ftf,Tesla P100-PCIE-12GB 0
task22,Kernel,21.088,21.9638,0.875823,1048576,ftf,Tesla P100-PCIE-12GB 0
task21,Kernel,21.9638,22.8446,0.88074,1048576,ftf,Tesla P100-PCIE-12GB 0
task23,Kernel,22.8446,23.7234,0.878755,1048576,ftf,Tesla P100-PCIE-12GB 0
task30,Kernel,23.7234,24.6045,0.881083,1048576,ftf,Tesla P100-PCIE-12GB 0
task29,Kernel,24.6045,25.4841,0.879608,1048576,ftf,Tesla P100-PCIE-12GB 0
task34,Kernel,25.4841,26.3589,0.874802,1048576,ftf,Tesla P100-PCIE-12GB 0
