taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00687432,0.00831223,0.0014379,0,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00837231,0.00922418,0.00085187,0,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00923896,0.0100703,0.000831366,0,profile,Tesla P100-PCIE-12GB 0
task0,Kernel,0.0100844,0.887184,0.8771,1048576,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.887263,0.890756,0.00349307,140144971762912,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.890771,0.891617,0.000845671,140144971762912,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.891631,0.892482,0.000850439,140144971762912,profile,Tesla P100-PCIE-12GB 0
task1,Kernel,0.892495,1.77353,0.881037,1048576,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77355,1.77442,0.000868559,140144971762912,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77444,1.77528,0.000839233,140144971762912,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77529,1.77613,0.00083971,140144971762912,profile,Tesla P100-PCIE-12GB 0
task2,Kernel,1.77614,2.65637,0.880224,1048576,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65639,2.65724,0.000858068,140144971762912,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65726,2.65813,0.00086832,140144971762912,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65814,2.65898,0.000842333,140144971762912,profile,Tesla P100-PCIE-12GB 0
task3,Kernel,2.659,3.53955,0.880558,1048576,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.53957,3.54043,0.000856161,140144971763296,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.54044,3.54129,0.000844717,140144971763296,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.5413,3.54215,0.000853539,140144971763296,profile,Tesla P100-PCIE-12GB 0
task4,Kernel,3.54217,4.41985,0.877683,1048576,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.41987,4.42073,0.0008533,0,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.42074,4.42158,0.000840902,0,profile,Tesla P100-PCIE-12GB 0
Internal-H2D(task5)-to-0,MemFlushOut,4.4216,4.42242,0.000827551,0,profile,Tesla P100-PCIE-12GB 0
task5,Kernel,4.42244,5.30301,0.880574,1048576,profile,Tesla P100-PCIE-12GB 0
task6,Kernel,5.30306,6.17425,0.871194,1048576,profile,Tesla P100-PCIE-12GB 0
task16,Kernel,6.17427,7.05159,0.877319,1048576,profile,Tesla P100-PCIE-12GB 0
task7,Kernel,7.0516,7.93159,0.879991,1048576,profile,Tesla P100-PCIE-12GB 0
task8,Kernel,7.93164,8.81186,0.880217,1048576,profile,Tesla P100-PCIE-12GB 0
task10,Kernel,8.81187,9.69301,0.88114,1048576,profile,Tesla P100-PCIE-12GB 0
task12,Kernel,9.69303,10.5686,0.875545,1048576,profile,Tesla P100-PCIE-12GB 0
task19,Kernel,10.5686,11.4484,0.879843,1048576,profile,Tesla P100-PCIE-12GB 0
task20,Kernel,11.4485,12.3269,0.878369,1048576,profile,Tesla P100-PCIE-12GB 0
task9,Kernel,12.3269,13.1975,0.870643,1048576,profile,Tesla P100-PCIE-12GB 0
task11,Kernel,13.1975,14.0793,0.881729,1048576,profile,Tesla P100-PCIE-12GB 0
task13,Kernel,14.0793,14.9564,0.877175,1048576,profile,Tesla P100-PCIE-12GB 0
task18,Kernel,14.9565,15.8322,0.875759,1048576,profile,Tesla P100-PCIE-12GB 0
task17,Kernel,15.8323,16.7091,0.876788,1048576,profile,Tesla P100-PCIE-12GB 0
task15,Kernel,16.7091,17.5882,0.879073,1048576,profile,Tesla P100-PCIE-12GB 0
task14,Kernel,17.5882,18.4682,0.880062,1048576,profile,Tesla P100-PCIE-12GB 0
task26,Kernel,18.4682,19.3486,0.880344,1048576,profile,Tesla P100-PCIE-12GB 0
task24,Kernel,19.3486,20.2247,0.876116,1048576,profile,Tesla P100-PCIE-12GB 0
task27,Kernel,20.2247,21.1032,0.878419,1048576,profile,Tesla P100-PCIE-12GB 0
task22,Kernel,21.1032,21.9807,0.877491,1048576,profile,Tesla P100-PCIE-12GB 0
task21,Kernel,21.9807,22.8611,0.88035,1048576,profile,Tesla P100-PCIE-12GB 0
task23,Kernel,22.8611,23.7365,0.875397,1048576,profile,Tesla P100-PCIE-12GB 0
task30,Kernel,23.7365,24.6201,0.883589,1048576,profile,Tesla P100-PCIE-12GB 0
task29,Kernel,24.6201,25.4971,0.877006,1048576,profile,Tesla P100-PCIE-12GB 0
task34,Kernel,25.4971,26.3733,0.876156,1048576,profile,Tesla P100-PCIE-12GB 0
task41,Kernel,26.3733,27.2511,0.877736,1048576,profile,Tesla P100-PCIE-12GB 0
task38,Kernel,27.2511,28.1318,0.880773,1048576,profile,Tesla P100-PCIE-12GB 0
task33,Kernel,28.1319,29.0078,0.875962,1048576,profile,Tesla P100-PCIE-12GB 0
task39,Kernel,29.0079,29.8848,0.876939,1048576,profile,Tesla P100-PCIE-12GB 0
task25,Kernel,29.8848,30.7625,0.877676,1048576,profile,Tesla P100-PCIE-12GB 0
task32,Kernel,30.7625,31.6401,0.877596,1048576,profile,Tesla P100-PCIE-12GB 0
task28,Kernel,31.6401,32.517,0.87688,1048576,profile,Tesla P100-PCIE-12GB 0
task36,Kernel,32.517,33.3956,0.87855,1048576,profile,Tesla P100-PCIE-12GB 0
task31,Kernel,33.3956,34.2785,0.882927,1048576,profile,Tesla P100-PCIE-12GB 0
task46,Kernel,34.2785,35.1581,0.879541,1048576,profile,Tesla P100-PCIE-12GB 0
task42,Kernel,35.1581,36.0354,0.877274,1048576,profile,Tesla P100-PCIE-12GB 0
task45,Kernel,36.0354,36.9171,0.881735,1048576,profile,Tesla P100-PCIE-12GB 0
task51,Kernel,36.9171,37.7954,0.878243,1048576,profile,Tesla P100-PCIE-12GB 0
task35,Kernel,37.7954,38.6731,0.877736,1048576,profile,Tesla P100-PCIE-12GB 0
task43,Kernel,38.6732,39.554,0.880866,1048576,profile,Tesla P100-PCIE-12GB 0
task47,Kernel,39.5541,40.4292,0.875163,1048576,profile,Tesla P100-PCIE-12GB 0
task37,Kernel,40.4292,41.3102,0.880948,1048576,profile,Tesla P100-PCIE-12GB 0
task44,Kernel,41.3102,42.1885,0.878261,1048576,profile,Tesla P100-PCIE-12GB 0
task48,Kernel,42.1885,43.0666,0.878149,1048576,profile,Tesla P100-PCIE-12GB 0
