taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00717187,0.0085392,0.00136733,0,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00859976,0.00947833,0.000878572,0,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00949454,0.0103345,0.000839949,0,random,Tesla P100-PCIE-12GB 0
task0,Kernel,0.0103488,0.884774,0.874425,1048576,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.884869,0.888407,0.00353789,139812197313760,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.888425,0.889284,0.000858545,139812197313760,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.889299,0.890151,0.000852108,139812197313760,random,Tesla P100-PCIE-12GB 0
task1,Kernel,0.890165,1.76953,0.879365,1048576,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.76955,1.77043,0.000876427,139812197313760,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77044,1.77129,0.000845909,139812197313760,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.7713,1.77215,0.000844479,139812197313760,random,Tesla P100-PCIE-12GB 0
task2,Kernel,1.77216,2.65225,0.880092,1048576,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65228,2.65316,0.000885487,139812197313760,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65318,2.65406,0.000882149,139812197313760,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65408,2.65492,0.000847816,139812197313760,random,Tesla P100-PCIE-12GB 0
task3,Kernel,2.65494,3.53409,0.879156,1048576,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.53411,3.53497,0.000857353,139812197314144,random,Tesla P100-PCIE-12GB 0
Internal-H2D(task4)-to-0,MemFlushOut,3.53498,3.53583,0.000850916,139812197314144,random,Tesla P100-PCIE-12GB 0
