taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0107334,0.0121183,0.00138497,0,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0121953,0.0130594,0.000864029,0,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0130768,0.0139356,0.000858784,0,roundrobin,Tesla P100-PCIE-12GB 0
task0,Kernel,0.0139518,0.887361,0.87341,1048576,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.887467,0.891014,0.00354695,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.891033,0.891893,0.000860214,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.891909,0.892756,0.000847101,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
task1,Kernel,0.892772,1.77555,0.882773,1048576,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77556,1.77643,0.000861645,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77644,1.77729,0.000842094,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.7773,1.77815,0.000845909,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
task2,Kernel,1.77816,2.65346,0.875293,1048576,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65348,2.65435,0.000867367,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65436,2.65526,0.000896931,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65528,2.65612,0.000845194,140214125030624,roundrobin,Tesla P100-PCIE-12GB 0
task3,Kernel,2.65614,3.53622,0.880087,1048576,roundrobin,Tesla P100-PCIE-12GB 0
