taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00735784,0.00873351,0.00137568,0,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00880265,0.0096612,0.000858545,0,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00967646,0.0105007,0.000824213,0,sdq,Tesla P100-PCIE-12GB 0
task0,Kernel,0.010515,0.887229,0.876714,1048576,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.887325,0.890808,0.00348282,140361483271392,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.890825,0.891654,0.000828981,140361483271392,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task1)-to-0,MemFlushOut,0.891668,0.892489,0.000821114,140361483271392,sdq,Tesla P100-PCIE-12GB 0
task1,Kernel,0.892503,1.7721,0.879592,1048576,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77216,1.77377,0.00161886,140361483271392,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.7738,1.77469,0.000889778,140361483271392,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task2)-to-0,MemFlushOut,1.77472,1.77558,0.000863791,140361483271392,sdq,Tesla P100-PCIE-12GB 0
task2,Kernel,1.77559,2.65433,0.878738,1048576,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65437,2.65527,0.0008986,140361483271392,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.65529,2.65618,0.000891447,140361483271392,sdq,Tesla P100-PCIE-12GB 0
Internal-H2D(task3)-to-0,MemFlushOut,2.6562,2.65704,0.00083828,140361483271392,sdq,Tesla P100-PCIE-12GB 0
task3,Kernel,2.65705,3.53892,0.881866,1048576,sdq,Tesla P100-PCIE-12GB 0
