taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00507283,0.00742435,0.00235152,0,depend,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00750899,0.00824809,0.000739098,0,depend,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00828362,0.00902319,0.000739574,0,depend,AMD Radeon VII 0
task0,Kernel,0.00905538,0.744907,0.735852,1048576,depend,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.744985,0.745661,0.000676394,139936217001568,depend,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.745672,0.746313,0.000641108,139936217001568,depend,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.746322,0.746963,0.000641108,139936217001568,depend,AMD Radeon VII 0
task1,Kernel,0.746971,1.48398,0.73701,1048576,depend,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48399,1.48468,0.000694513,139936217001184,depend,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48469,1.48534,0.000641346,139936217001184,depend,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48534,1.48598,0.000640392,139936217001184,depend,AMD Radeon VII 0
task2,Kernel,1.48599,2.22351,0.737514,1048576,depend,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22351,2.2242,0.00068903,139936217001184,depend,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22421,2.22485,0.000641346,139936217001184,depend,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22486,2.2255,0.000640392,139936217001184,depend,AMD Radeon VII 0
task3,Kernel,2.22551,2.95715,0.73164,1048576,depend,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95716,2.95785,0.00069046,0,depend,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95786,2.9585,0.000641346,0,depend,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95851,2.95915,0.000639439,0,depend,AMD Radeon VII 0
task4,Kernel,2.95916,3.69113,0.731975,1048576,depend,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69114,3.69183,0.000689507,0,depend,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69184,3.69249,0.00064826,0,depend,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69249,3.69313,0.000638962,0,depend,AMD Radeon VII 0
task5,Kernel,3.69314,4.43064,0.7375,1048576,depend,AMD Radeon VII 0
task6,Kernel,4.43065,5.16762,0.73697,1048576,depend,AMD Radeon VII 0
task16,Kernel,5.16763,5.90105,0.733415,1048576,depend,AMD Radeon VII 0
task7,Kernel,5.90106,6.63503,0.733974,1048576,depend,AMD Radeon VII 0
task8,Kernel,6.63504,7.36762,0.732576,1048576,depend,AMD Radeon VII 0
task10,Kernel,7.36763,8.10243,0.734797,1048576,depend,AMD Radeon VII 0
task12,Kernel,8.10244,8.8365,0.734063,1048576,depend,AMD Radeon VII 0
task19,Kernel,8.83653,9.57252,0.735995,1048576,depend,AMD Radeon VII 0
task20,Kernel,9.57256,10.3068,0.734275,1048576,depend,AMD Radeon VII 0
task9,Kernel,10.3069,11.0395,0.732622,1048576,depend,AMD Radeon VII 0
task11,Kernel,11.0395,11.7781,0.738552,1048576,depend,AMD Radeon VII 0
task13,Kernel,11.7781,12.5142,0.736065,1048576,depend,AMD Radeon VII 0
task18,Kernel,12.5142,13.2455,0.731296,1048576,depend,AMD Radeon VII 0
task17,Kernel,13.2455,13.9825,0.736984,1048576,depend,AMD Radeon VII 0
task15,Kernel,13.9825,14.7137,0.731262,1048576,depend,AMD Radeon VII 0
task14,Kernel,14.7138,15.4479,0.734165,1048576,depend,AMD Radeon VII 0
task26,Kernel,15.448,16.1805,0.732587,1048576,depend,AMD Radeon VII 0
task24,Kernel,16.1806,16.9134,0.732823,1048576,depend,AMD Radeon VII 0
task27,Kernel,16.9134,17.6464,0.733002,1048576,depend,AMD Radeon VII 0
task22,Kernel,17.6464,18.3794,0.732956,1048576,depend,AMD Radeon VII 0
task21,Kernel,18.3794,19.1121,0.732742,1048576,depend,AMD Radeon VII 0
task23,Kernel,19.1121,19.8425,0.730374,1048576,depend,AMD Radeon VII 0
task30,Kernel,19.8425,20.5782,0.735644,1048576,depend,AMD Radeon VII 0
task29,Kernel,20.5782,21.3139,0.735735,1048576,depend,AMD Radeon VII 0
task34,Kernel,21.3139,22.048,0.734026,1048576,depend,AMD Radeon VII 0
task41,Kernel,22.048,22.7869,0.73892,1048576,depend,AMD Radeon VII 0
