taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00495481,0.00735927,0.00240445,0,ftf,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00743961,0.00817156,0.000731945,0,ftf,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00818872,0.00892425,0.000735521,0,ftf,AMD Radeon VII 0
task0,Kernel,0.00893974,0.744351,0.735411,1048576,ftf,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.744444,0.745124,0.000679731,140428067237472,ftf,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.74513,0.745771,0.000641108,140428067237472,ftf,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.745776,0.746415,0.000638962,140428067237472,ftf,AMD Radeon VII 0
task1,Kernel,0.746419,1.4808,0.734377,1048576,ftf,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.4808,1.48148,0.000673771,140428067237088,ftf,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48148,1.48212,0.000638485,140428067237088,ftf,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48213,1.48276,0.000636339,140428067237088,ftf,AMD Radeon VII 0
task2,Kernel,1.48277,2.21872,0.735956,1048576,ftf,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.21873,2.21942,0.0006814,140428067237088,ftf,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.21942,2.22006,0.000638723,140428067237088,ftf,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22006,2.2207,0.000638962,140428067237088,ftf,AMD Radeon VII 0
task3,Kernel,2.22071,2.95689,0.736178,1048576,ftf,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.9569,2.95758,0.000678778,0,ftf,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95758,2.95822,0.000641108,0,ftf,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95823,2.95886,0.000635147,0,ftf,AMD Radeon VII 0
task4,Kernel,2.95887,3.69181,0.732947,1048576,ftf,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69182,3.6925,0.000675678,0,ftf,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.6925,3.69314,0.000637293,0,ftf,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69315,3.69378,0.000636339,0,ftf,AMD Radeon VII 0
task5,Kernel,3.69379,4.43062,0.736836,1048576,ftf,AMD Radeon VII 0
task6,Kernel,4.43063,5.16534,0.734703,1048576,ftf,AMD Radeon VII 0
task16,Kernel,5.16534,5.90026,0.734915,1048576,ftf,AMD Radeon VII 0
task7,Kernel,5.9003,6.63889,0.738595,1048576,ftf,AMD Radeon VII 0
task8,Kernel,6.63892,7.37872,0.739798,1048576,ftf,AMD Radeon VII 0
task10,Kernel,7.37873,8.11693,0.738203,1048576,ftf,AMD Radeon VII 0
task12,Kernel,8.11694,8.85183,0.734891,1048576,ftf,AMD Radeon VII 0
task19,Kernel,8.85184,9.58453,0.732696,1048576,ftf,AMD Radeon VII 0
task20,Kernel,9.58457,10.3189,0.734377,1048576,ftf,AMD Radeon VII 0
task9,Kernel,10.319,11.0506,0.731599,1048576,ftf,AMD Radeon VII 0
task11,Kernel,11.0506,11.7861,0.735512,1048576,ftf,AMD Radeon VII 0
task13,Kernel,11.7861,12.5248,0.73863,1048576,ftf,AMD Radeon VII 0
