taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00482607,0.00713825,0.00231218,0,profile,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00721979,0.00795436,0.000734568,0,profile,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00797224,0.00870562,0.000733376,0,profile,AMD Radeon VII 0
task0,Kernel,0.00872159,0.744154,0.735433,1048576,profile,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.744238,0.744911,0.000672817,140555216723552,profile,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.744917,0.745557,0.000639439,140555216723552,profile,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.745561,0.746199,0.000637293,140555216723552,profile,AMD Radeon VII 0
task1,Kernel,0.746203,1.48324,0.737041,1048576,profile,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48325,1.48394,0.000684738,140555216723168,profile,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48394,1.48458,0.000638723,140555216723168,profile,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48459,1.48522,0.000636101,140555216723168,profile,AMD Radeon VII 0
task2,Kernel,1.48523,2.22157,0.736345,1048576,profile,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22158,2.22227,0.000688553,140555216723168,profile,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22227,2.22291,0.000638962,140555216723168,profile,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22292,2.22356,0.000638485,140555216723168,profile,AMD Radeon VII 0
task3,Kernel,2.22356,2.95982,0.736258,1048576,profile,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95982,2.96051,0.0006845,0,profile,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.96051,2.96115,0.000638247,0,profile,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.96116,2.96181,0.000655413,0,profile,AMD Radeon VII 0
task4,Kernel,2.96182,3.70392,0.742104,1048576,profile,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.70393,3.70461,0.000686407,0,profile,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.70462,3.70526,0.00063777,0,profile,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.70526,3.7059,0.000635624,0,profile,AMD Radeon VII 0
task5,Kernel,3.7059,4.44061,0.734707,1048576,profile,AMD Radeon VII 0
task6,Kernel,4.44061,5.17349,0.732872,1048576,profile,AMD Radeon VII 0
task16,Kernel,5.17349,5.90546,0.731965,1048576,profile,AMD Radeon VII 0
task7,Kernel,5.90546,6.64607,0.740608,1048576,profile,AMD Radeon VII 0
task8,Kernel,6.64608,7.3834,0.737326,1048576,profile,AMD Radeon VII 0
task10,Kernel,7.38341,8.12036,0.736953,1048576,profile,AMD Radeon VII 0
task12,Kernel,8.12037,8.85446,0.73409,1048576,profile,AMD Radeon VII 0
task19,Kernel,8.85447,9.59097,0.736504,1048576,profile,AMD Radeon VII 0
task20,Kernel,9.59098,10.3279,0.73695,1048576,profile,AMD Radeon VII 0
task9,Kernel,10.328,11.0654,0.737406,1048576,profile,AMD Radeon VII 0
task11,Kernel,11.0654,11.7998,0.734364,1048576,profile,AMD Radeon VII 0
task13,Kernel,11.7998,12.5363,0.736466,1048576,profile,AMD Radeon VII 0
task18,Kernel,12.5363,13.2705,0.73423,1048576,profile,AMD Radeon VII 0
task17,Kernel,13.2705,14.0023,0.731712,1048576,profile,AMD Radeon VII 0
task15,Kernel,14.0023,14.7376,0.735352,1048576,profile,AMD Radeon VII 0
task14,Kernel,14.7376,15.4712,0.733558,1048576,profile,AMD Radeon VII 0
task26,Kernel,15.4712,16.2033,0.732127,1048576,profile,AMD Radeon VII 0
task24,Kernel,16.2033,16.939,0.735721,1048576,profile,AMD Radeon VII 0
task27,Kernel,16.9391,17.6737,0.734618,1048576,profile,AMD Radeon VII 0
