taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0134513,0.0151753,0.001724,0,random,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0152225,0.0159206,0.00069809,0,random,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0159373,0.0165858,0.000648499,0,random,AMD Radeon VII 0
task0,Kernel,0.0165999,0.750751,0.734151,1048576,random,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.750829,0.751504,0.000674725,140009992564320,random,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.751514,0.752155,0.000641108,140009992564320,random,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.752163,0.752802,0.000638485,140009992564320,random,AMD Radeon VII 0
task1,Kernel,0.75281,1.48954,0.736731,1048576,random,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48955,1.49027,0.00072217,140009992563936,random,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49028,1.49092,0.000641584,140009992563936,random,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49093,1.49157,0.000639439,140009992563936,random,AMD Radeon VII 0
task2,Kernel,1.49158,2.23111,0.739535,1048576,random,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.23112,2.23181,0.000687599,140009992563936,random,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.23182,2.23246,0.000640869,140009992563936,random,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.23247,2.2331,0.000638723,140009992563936,random,AMD Radeon VII 0
task3,Kernel,2.23311,2.96581,0.7327,1048576,random,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.96582,2.9665,0.000684261,0,random,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.96651,2.96715,0.000640392,0,random,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.96716,2.9678,0.000640631,0,random,AMD Radeon VII 0
task4,Kernel,2.96781,3.70477,0.736957,1048576,random,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.70477,3.70546,0.000687122,0,random,AMD Radeon VII 0
