taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0173054,0.0197315,0.00242615,0,roundrobin,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0198112,0.0205438,0.00073266,0,roundrobin,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0205622,0.0212944,0.000732183,0,roundrobin,AMD Radeon VII 0
task0,Kernel,0.0213099,0.757142,0.735832,1048576,roundrobin,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.75724,0.757921,0.0006814,140146752134752,roundrobin,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.757928,0.758569,0.000640869,140146752134752,roundrobin,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.758574,0.759211,0.000636578,140146752134752,roundrobin,AMD Radeon VII 0
task1,Kernel,0.759215,1.49065,0.731439,1048576,roundrobin,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49066,1.49133,0.000669956,140146752134368,roundrobin,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49134,1.49197,0.000638247,140146752134368,roundrobin,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.49198,1.49262,0.000637054,140146752134368,roundrobin,AMD Radeon VII 0
task2,Kernel,1.49262,2.22296,0.730337,1048576,roundrobin,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22297,2.22365,0.000678062,140146752134368,roundrobin,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22365,2.22429,0.000637531,140146752134368,roundrobin,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.22429,2.22493,0.000636578,140146752134368,roundrobin,AMD Radeon VII 0
task3,Kernel,2.22493,2.9533,0.728363,1048576,roundrobin,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95331,2.95398,0.000671864,0,roundrobin,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95398,2.95462,0.0006392,0,roundrobin,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95463,2.95526,0.000636339,0,roundrobin,AMD Radeon VII 0
task4,Kernel,2.95527,3.68678,0.731517,1048576,roundrobin,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.68679,3.68747,0.000674963,0,roundrobin,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.68747,3.68811,0.000638247,0,roundrobin,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.68812,3.68875,0.000636578,0,roundrobin,AMD Radeon VII 0
task5,Kernel,3.68876,4.42007,0.731318,1048576,roundrobin,AMD Radeon VII 0
task6,Kernel,4.42009,5.15221,0.732126,1048576,roundrobin,AMD Radeon VII 0
task16,Kernel,5.15222,5.8815,0.729283,1048576,roundrobin,AMD Radeon VII 0
task7,Kernel,5.88151,6.6177,0.736188,1048576,roundrobin,AMD Radeon VII 0
task8,Kernel,6.6177,7.35147,0.733769,1048576,roundrobin,AMD Radeon VII 0
task10,Kernel,7.35148,8.08453,0.733047,1048576,roundrobin,AMD Radeon VII 0
task12,Kernel,8.08453,8.81588,0.731347,1048576,roundrobin,AMD Radeon VII 0
task19,Kernel,8.81589,9.54975,0.73386,1048576,roundrobin,AMD Radeon VII 0
task20,Kernel,9.54976,10.2843,0.734534,1048576,roundrobin,AMD Radeon VII 0
task9,Kernel,10.2843,11.0159,0.731604,1048576,roundrobin,AMD Radeon VII 0
task11,Kernel,11.0159,11.7491,0.733176,1048576,roundrobin,AMD Radeon VII 0
task13,Kernel,11.7491,12.485,0.735878,1048576,roundrobin,AMD Radeon VII 0
task18,Kernel,12.485,13.2192,0.734112,1048576,roundrobin,AMD Radeon VII 0
task17,Kernel,13.2192,13.9564,0.737225,1048576,roundrobin,AMD Radeon VII 0
task15,Kernel,13.9564,14.6917,0.735266,1048576,roundrobin,AMD Radeon VII 0
task14,Kernel,14.6917,15.4257,0.734054,1048576,roundrobin,AMD Radeon VII 0
task26,Kernel,15.4257,16.1603,0.734544,1048576,roundrobin,AMD Radeon VII 0
task24,Kernel,16.1603,16.8966,0.736273,1048576,roundrobin,AMD Radeon VII 0
task27,Kernel,16.8966,17.6276,0.730998,1048576,roundrobin,AMD Radeon VII 0
task22,Kernel,17.6276,18.3613,0.733767,1048576,roundrobin,AMD Radeon VII 0
task21,Kernel,18.3614,19.0941,0.732738,1048576,roundrobin,AMD Radeon VII 0
task23,Kernel,19.0941,19.8322,0.738061,1048576,roundrobin,AMD Radeon VII 0
task30,Kernel,19.8322,20.5685,0.736307,1048576,roundrobin,AMD Radeon VII 0
task29,Kernel,20.5685,21.3034,0.73491,1048576,roundrobin,AMD Radeon VII 0
task34,Kernel,21.3034,22.034,0.730603,1048576,roundrobin,AMD Radeon VII 0
task41,Kernel,22.034,22.7703,0.73623,1048576,roundrobin,AMD Radeon VII 0
task38,Kernel,22.7703,23.5048,0.734518,1048576,roundrobin,AMD Radeon VII 0
task33,Kernel,23.5048,24.2374,0.7326,1048576,roundrobin,AMD Radeon VII 0
task39,Kernel,24.2374,24.9701,0.732733,1048576,roundrobin,AMD Radeon VII 0
task25,Kernel,24.9701,25.7006,0.730499,1048576,roundrobin,AMD Radeon VII 0
task32,Kernel,25.7006,26.4336,0.732913,1048576,roundrobin,AMD Radeon VII 0
task28,Kernel,26.4336,27.1672,0.733639,1048576,roundrobin,AMD Radeon VII 0
task36,Kernel,27.1672,27.903,0.735786,1048576,roundrobin,AMD Radeon VII 0
task31,Kernel,27.903,28.6388,0.735806,1048576,roundrobin,AMD Radeon VII 0
task46,Kernel,28.6388,29.3701,0.731222,1048576,roundrobin,AMD Radeon VII 0
task42,Kernel,29.3701,30.1057,0.735649,1048576,roundrobin,AMD Radeon VII 0
task45,Kernel,30.1057,30.8374,0.731636,1048576,roundrobin,AMD Radeon VII 0
task51,Kernel,30.8374,31.5729,0.735519,1048576,roundrobin,AMD Radeon VII 0
task35,Kernel,31.5729,32.3049,0.731964,1048576,roundrobin,AMD Radeon VII 0
task43,Kernel,32.3049,33.0423,0.737462,1048576,roundrobin,AMD Radeon VII 0
task47,Kernel,33.0423,33.7724,0.730036,1048576,roundrobin,AMD Radeon VII 0
task37,Kernel,33.7724,34.5041,0.731697,1048576,roundrobin,AMD Radeon VII 0
task44,Kernel,34.5041,35.2392,0.735108,1048576,roundrobin,AMD Radeon VII 0
task48,Kernel,35.2392,35.9755,0.736316,1048576,roundrobin,AMD Radeon VII 0
task50,Kernel,35.9755,36.7113,0.735745,1048576,roundrobin,AMD Radeon VII 0
task60,Kernel,36.7113,37.4462,0.734953,1048576,roundrobin,AMD Radeon VII 0
task40,Kernel,37.4462,38.1809,0.73469,1048576,roundrobin,AMD Radeon VII 0
task54,Kernel,38.1809,38.9156,0.734619,1048576,roundrobin,AMD Radeon VII 0
task49,Kernel,38.9156,39.6493,0.73371,1048576,roundrobin,AMD Radeon VII 0
task52,Kernel,39.6493,40.383,0.733688,1048576,roundrobin,AMD Radeon VII 0
task53,Kernel,40.383,41.1193,0.736352,1048576,roundrobin,AMD Radeon VII 0
task59,Kernel,41.1193,41.8554,0.736045,1048576,roundrobin,AMD Radeon VII 0
task55,Kernel,41.8554,42.5915,0.736125,1048576,roundrobin,AMD Radeon VII 0
task64,Kernel,42.5915,43.3238,0.732228,1048576,roundrobin,AMD Radeon VII 0
task58,Kernel,43.3238,44.0634,0.739608,1048576,roundrobin,AMD Radeon VII 0
task56,Kernel,44.0634,44.8009,0.73753,1048576,roundrobin,AMD Radeon VII 0
task61,Kernel,44.8009,45.5393,0.738358,1048576,roundrobin,AMD Radeon VII 0
task65,Kernel,45.5393,46.2708,0.731515,1048576,roundrobin,AMD Radeon VII 0
task57,Kernel,46.2708,47.007,0.736182,1048576,roundrobin,AMD Radeon VII 0
task63,Kernel,47.007,47.7398,0.732764,1048576,roundrobin,AMD Radeon VII 0
task62,Kernel,47.7398,48.474,0.734189,1048576,roundrobin,AMD Radeon VII 0
task69,Kernel,48.474,49.207,0.73307,1048576,roundrobin,AMD Radeon VII 0
task71,Kernel,49.2071,49.941,0.733991,1048576,roundrobin,AMD Radeon VII 0
task80,Kernel,49.9411,50.6769,0.735798,1048576,roundrobin,AMD Radeon VII 0
task68,Kernel,50.6769,51.4132,0.736262,1048576,roundrobin,AMD Radeon VII 0
task66,Kernel,51.4132,52.1514,0.738261,1048576,roundrobin,AMD Radeon VII 0
task72,Kernel,52.1514,52.8852,0.733812,1048576,roundrobin,AMD Radeon VII 0
task78,Kernel,52.8853,53.6181,0.732829,1048576,roundrobin,AMD Radeon VII 0
task70,Kernel,53.6181,54.3488,0.730661,1048576,roundrobin,AMD Radeon VII 0
task82,Kernel,54.3488,55.0866,0.737878,1048576,roundrobin,AMD Radeon VII 0
task73,Kernel,55.0866,55.821,0.734369,1048576,roundrobin,AMD Radeon VII 0
task77,Kernel,55.821,56.5553,0.734265,1048576,roundrobin,AMD Radeon VII 0
task88,Kernel,56.5553,57.2907,0.735411,1048576,roundrobin,AMD Radeon VII 0
task75,Kernel,57.2907,58.0268,0.736099,1048576,roundrobin,AMD Radeon VII 0
task76,Kernel,58.0268,58.7604,0.733573,1048576,roundrobin,AMD Radeon VII 0
task67,Kernel,58.7604,59.4967,0.736278,1048576,roundrobin,AMD Radeon VII 0
task97,Kernel,59.4967,60.2313,0.734558,1048576,roundrobin,AMD Radeon VII 0
task86,Kernel,60.2313,60.9676,0.736371,1048576,roundrobin,AMD Radeon VII 0
task89,Kernel,60.9677,61.7001,0.732422,1048576,roundrobin,AMD Radeon VII 0
task74,Kernel,61.7001,62.4312,0.731126,1048576,roundrobin,AMD Radeon VII 0
task79,Kernel,62.4312,63.1673,0.736101,1048576,roundrobin,AMD Radeon VII 0
task81,Kernel,63.1673,63.8995,0.732141,1048576,roundrobin,AMD Radeon VII 0
task83,Kernel,63.8995,64.6357,0.73626,1048576,roundrobin,AMD Radeon VII 0
task85,Kernel,64.6358,65.3681,0.732372,1048576,roundrobin,AMD Radeon VII 0
task90,Kernel,65.3681,66.1022,0.734096,1048576,roundrobin,AMD Radeon VII 0
task120,Kernel,66.1022,66.838,0.735728,1048576,roundrobin,AMD Radeon VII 0
task92,Kernel,66.838,67.5688,0.730847,1048576,roundrobin,AMD Radeon VII 0
task95,Kernel,67.5688,68.3057,0.736858,1048576,roundrobin,AMD Radeon VII 0
task84,Kernel,68.3057,69.0402,0.734534,1048576,roundrobin,AMD Radeon VII 0
task91,Kernel,69.0403,69.7751,0.734857,1048576,roundrobin,AMD Radeon VII 0
task87,Kernel,69.7751,70.5085,0.733364,1048576,roundrobin,AMD Radeon VII 0
task94,Kernel,70.5085,71.2402,0.731675,1048576,roundrobin,AMD Radeon VII 0
task129,Kernel,71.2402,71.974,0.733798,1048576,roundrobin,AMD Radeon VII 0
task98,Kernel,71.974,72.7074,0.733377,1048576,roundrobin,AMD Radeon VII 0
task100,Kernel,72.7074,73.4454,0.738064,1048576,roundrobin,AMD Radeon VII 0
task105,Kernel,73.4455,74.1807,0.735283,1048576,roundrobin,AMD Radeon VII 0
task96,Kernel,74.1808,74.9162,0.735446,1048576,roundrobin,AMD Radeon VII 0
task99,Kernel,74.9162,75.6484,0.732163,1048576,roundrobin,AMD Radeon VII 0
task93,Kernel,75.6484,76.3807,0.732277,1048576,roundrobin,AMD Radeon VII 0
task103,Kernel,76.3807,77.1154,0.734657,1048576,roundrobin,AMD Radeon VII 0
task102,Kernel,77.1154,77.8485,0.733107,1048576,roundrobin,AMD Radeon VII 0
task117,Kernel,77.8485,78.5853,0.736862,1048576,roundrobin,AMD Radeon VII 0
task101,Kernel,78.5853,79.3183,0.732991,1048576,roundrobin,AMD Radeon VII 0
task110,Kernel,79.3183,80.0522,0.733855,1048576,roundrobin,AMD Radeon VII 0
task107,Kernel,80.0522,80.7864,0.734212,1048576,roundrobin,AMD Radeon VII 0
task114,Kernel,80.7864,81.5205,0.734024,1048576,roundrobin,AMD Radeon VII 0
task106,Kernel,81.5205,82.253,0.732492,1048576,roundrobin,AMD Radeon VII 0
task104,Kernel,82.253,82.9869,0.733971,1048576,roundrobin,AMD Radeon VII 0
task108,Kernel,82.9869,83.7257,0.73873,1048576,roundrobin,AMD Radeon VII 0
task111,Kernel,83.7257,84.458,0.732336,1048576,roundrobin,AMD Radeon VII 0
task118,Kernel,84.458,85.1938,0.735808,1048576,roundrobin,AMD Radeon VII 0
task128,Kernel,85.1938,85.9265,0.732707,1048576,roundrobin,AMD Radeon VII 0
task109,Kernel,85.9265,86.6617,0.735156,1048576,roundrobin,AMD Radeon VII 0
task112,Kernel,86.6617,87.3946,0.732887,1048576,roundrobin,AMD Radeon VII 0
task113,Kernel,87.3946,88.1299,0.735342,1048576,roundrobin,AMD Radeon VII 0
task116,Kernel,88.13,88.866,0.736084,1048576,roundrobin,AMD Radeon VII 0
task115,Kernel,88.866,89.5988,0.732747,1048576,roundrobin,AMD Radeon VII 0
task119,Kernel,89.5988,90.3333,0.734471,1048576,roundrobin,AMD Radeon VII 0
task126,Kernel,90.3333,91.068,0.734737,1048576,roundrobin,AMD Radeon VII 0
task122,Kernel,91.068,91.8013,0.733241,1048576,roundrobin,AMD Radeon VII 0
task121,Kernel,91.8013,92.5377,0.736408,1048576,roundrobin,AMD Radeon VII 0
task125,Kernel,92.5377,93.2714,0.733747,1048576,roundrobin,AMD Radeon VII 0
task132,Kernel,93.2714,94.0044,0.732984,1048576,roundrobin,AMD Radeon VII 0
task137,Kernel,94.0044,94.7396,0.735155,1048576,roundrobin,AMD Radeon VII 0
task127,Kernel,94.7396,95.4737,0.73413,1048576,roundrobin,AMD Radeon VII 0
task135,Kernel,95.4737,96.207,0.733308,1048576,roundrobin,AMD Radeon VII 0
task123,Kernel,96.207,96.9427,0.735639,1048576,roundrobin,AMD Radeon VII 0
task124,Kernel,96.9427,97.6759,0.733241,1048576,roundrobin,AMD Radeon VII 0
task131,Kernel,97.6759,98.4121,0.73618,1048576,roundrobin,AMD Radeon VII 0
task133,Kernel,98.4121,99.1485,0.7364,1048576,roundrobin,AMD Radeon VII 0
task130,Kernel,99.1485,99.8784,0.729829,1048576,roundrobin,AMD Radeon VII 0
task138,Kernel,99.8784,100.612,0.733482,1048576,roundrobin,AMD Radeon VII 0
task143,Kernel,100.612,101.347,0.735231,1048576,roundrobin,AMD Radeon VII 0
task140,Kernel,101.347,102.084,0.73656,1048576,roundrobin,AMD Radeon VII 0
task149,Kernel,102.084,102.819,0.735524,1048576,roundrobin,AMD Radeon VII 0
task134,Kernel,102.819,103.554,0.734694,1048576,roundrobin,AMD Radeon VII 0
task136,Kernel,103.554,104.286,0.732488,1048576,roundrobin,AMD Radeon VII 0
task139,Kernel,104.286,105.022,0.735266,1048576,roundrobin,AMD Radeon VII 0
task141,Kernel,105.022,105.757,0.73488,1048576,roundrobin,AMD Radeon VII 0
task142,Kernel,105.757,106.49,0.733461,1048576,roundrobin,AMD Radeon VII 0
task150,Kernel,106.49,107.225,0.735248,1048576,roundrobin,AMD Radeon VII 0
task153,Kernel,107.225,107.96,0.734688,1048576,roundrobin,AMD Radeon VII 0
task158,Kernel,107.96,108.697,0.737076,1048576,roundrobin,AMD Radeon VII 0
task160,Kernel,108.697,109.429,0.731653,1048576,roundrobin,AMD Radeon VII 0
task145,Kernel,109.429,110.166,0.73768,1048576,roundrobin,AMD Radeon VII 0
task148,Kernel,110.166,110.902,0.735869,1048576,roundrobin,AMD Radeon VII 0
task144,Kernel,110.902,111.642,0.739397,1048576,roundrobin,AMD Radeon VII 0
task152,Kernel,111.642,112.381,0.738841,1048576,roundrobin,AMD Radeon VII 0
task156,Kernel,112.381,113.115,0.734199,1048576,roundrobin,AMD Radeon VII 0
task146,Kernel,113.115,113.846,0.731686,1048576,roundrobin,AMD Radeon VII 0
task151,Kernel,113.846,114.583,0.736011,1048576,roundrobin,AMD Radeon VII 0
task164,Kernel,114.583,115.316,0.733519,1048576,roundrobin,AMD Radeon VII 0
task154,Kernel,115.316,116.052,0.736429,1048576,roundrobin,AMD Radeon VII 0
task165,Kernel,116.052,116.791,0.738028,1048576,roundrobin,AMD Radeon VII 0
task147,Kernel,116.791,117.531,0.740727,1048576,roundrobin,AMD Radeon VII 0
task161,Kernel,117.531,118.264,0.732439,1048576,roundrobin,AMD Radeon VII 0
task157,Kernel,118.264,118.998,0.734253,1048576,roundrobin,AMD Radeon VII 0
task172,Kernel,118.998,119.73,0.7316,1048576,roundrobin,AMD Radeon VII 0
task155,Kernel,119.73,120.466,0.736801,1048576,roundrobin,AMD Radeon VII 0
task159,Kernel,120.466,121.199,0.733011,1048576,roundrobin,AMD Radeon VII 0
task166,Kernel,121.199,121.935,0.735505,1048576,roundrobin,AMD Radeon VII 0
