taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00491834,0.00720239,0.00228405,0,sdq,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00728083,0.0080142,0.000733376,0,sdq,AMD Radeon VII 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00803232,0.00888133,0.000849009,0,sdq,AMD Radeon VII 0
task0,Kernel,0.0088973,0.742528,0.733631,1048576,sdq,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.742624,0.743294,0.000670433,140269256670816,sdq,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.7433,0.74394,0.000640154,140269256670816,sdq,AMD Radeon VII 0
Internal-H2D(task1)-to-0,MemFlushOut,0.743945,0.744581,0.000636816,140269256670816,sdq,AMD Radeon VII 0
task1,Kernel,0.744586,1.4813,0.736717,1048576,sdq,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48131,1.48198,0.000672817,140269256670432,sdq,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48199,1.48263,0.000638723,140269256670432,sdq,AMD Radeon VII 0
Internal-H2D(task2)-to-0,MemFlushOut,1.48263,1.48327,0.000637293,140269256670432,sdq,AMD Radeon VII 0
task2,Kernel,1.48327,2.21559,0.73232,1048576,sdq,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.2156,2.21627,0.000669479,140269256670432,sdq,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.21628,2.21691,0.000636816,140269256670432,sdq,AMD Radeon VII 0
Internal-H2D(task3)-to-0,MemFlushOut,2.21692,2.21755,0.000637531,140269256670432,sdq,AMD Radeon VII 0
task3,Kernel,2.21756,2.95449,0.736933,1048576,sdq,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.9545,2.95517,0.000672817,0,sdq,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95518,2.95582,0.000638247,0,sdq,AMD Radeon VII 0
Internal-H2D(task4)-to-0,MemFlushOut,2.95582,2.95646,0.000637054,0,sdq,AMD Radeon VII 0
task4,Kernel,2.95646,3.69104,0.734572,1048576,sdq,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69104,3.69171,0.000671625,0,sdq,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69172,3.69235,0.000636578,0,sdq,AMD Radeon VII 0
Internal-H2D(task5)-to-0,MemFlushOut,3.69236,3.69299,0.000635147,0,sdq,AMD Radeon VII 0
task5,Kernel,3.693,4.42425,0.731253,1048576,sdq,AMD Radeon VII 0
task6,Kernel,4.42426,5.15968,0.735423,1048576,sdq,AMD Radeon VII 0
task16,Kernel,5.15969,5.89178,0.732091,1048576,sdq,AMD Radeon VII 0
task7,Kernel,5.89179,6.62774,0.735952,1048576,sdq,AMD Radeon VII 0
task8,Kernel,6.62775,7.36352,0.735777,1048576,sdq,AMD Radeon VII 0
task10,Kernel,7.36353,8.09575,0.732223,1048576,sdq,AMD Radeon VII 0
task12,Kernel,8.09576,8.8277,0.731941,1048576,sdq,AMD Radeon VII 0
