taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00496149,0.00573134,0.000769854,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00578833,0.00634885,0.000560522,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.006356,0.00688243,0.000526428,0,depend,NVIDIA GeForce RTX 3090 0
task0,Kernel,0.0068891,0.0905275,0.0836384,1048576,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0905833,0.0911233,0.000540018,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0911314,0.0916641,0.000532627,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.091671,0.0921993,0.000528336,0,depend,NVIDIA GeForce RTX 3090 0
task1,Kernel,0.092206,0.173655,0.0814493,1048576,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.173665,0.174206,0.000540257,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.174212,0.174736,0.000524044,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.174742,0.175264,0.00052166,0,depend,NVIDIA GeForce RTX 3090 0
task2,Kernel,0.17527,0.256714,0.0814433,1048576,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.256722,0.257291,0.000568628,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.257298,0.257836,0.000537634,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.257843,0.258388,0.00054431,0,depend,NVIDIA GeForce RTX 3090 0
task3,Kernel,0.258394,0.339183,0.0807891,1048576,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.339192,0.339726,0.000534058,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.339733,0.340291,0.000558138,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.340298,0.340826,0.000528336,0,depend,NVIDIA GeForce RTX 3090 0
task4,Kernel,0.340832,0.420909,0.0800765,1048576,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.420918,0.421453,0.000535727,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.42146,0.421989,0.000528574,0,depend,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.421995,0.422533,0.000537395,0,depend,NVIDIA GeForce RTX 3090 0
task5,Kernel,0.422539,0.50271,0.0801706,1048576,depend,NVIDIA GeForce RTX 3090 0
task6,Kernel,0.502719,0.582774,0.0800548,1048576,depend,NVIDIA GeForce RTX 3090 0
task16,Kernel,0.582781,0.662852,0.080071,1048576,depend,NVIDIA GeForce RTX 3090 0
task7,Kernel,0.662859,0.742949,0.0800903,1048576,depend,NVIDIA GeForce RTX 3090 0
task8,Kernel,0.742956,0.822917,0.0799611,1048576,depend,NVIDIA GeForce RTX 3090 0
task10,Kernel,0.822924,0.903,0.0800753,1048576,depend,NVIDIA GeForce RTX 3090 0
task12,Kernel,0.903007,0.98293,0.0799236,1048576,depend,NVIDIA GeForce RTX 3090 0
task19,Kernel,0.982937,1.06299,0.0800481,1048576,depend,NVIDIA GeForce RTX 3090 0
task20,Kernel,1.06299,1.14306,0.0800679,1048576,depend,NVIDIA GeForce RTX 3090 0
task9,Kernel,1.14307,1.22309,0.0800209,1048576,depend,NVIDIA GeForce RTX 3090 0
task11,Kernel,1.22309,1.30318,0.080085,1048576,depend,NVIDIA GeForce RTX 3090 0
task13,Kernel,1.30319,1.38347,0.0802832,1048576,depend,NVIDIA GeForce RTX 3090 0
task18,Kernel,1.38348,1.46384,0.0803618,1048576,depend,NVIDIA GeForce RTX 3090 0
task17,Kernel,1.46384,1.54411,0.0802627,1048576,depend,NVIDIA GeForce RTX 3090 0
task15,Kernel,1.54412,1.62451,0.08039,1048576,depend,NVIDIA GeForce RTX 3090 0
task14,Kernel,1.62451,1.70487,0.0803614,1048576,depend,NVIDIA GeForce RTX 3090 0
task26,Kernel,1.70488,1.78524,0.0803547,1048576,depend,NVIDIA GeForce RTX 3090 0
task24,Kernel,1.78524,1.86549,0.0802488,1048576,depend,NVIDIA GeForce RTX 3090 0
task27,Kernel,1.8655,1.94589,0.0803907,1048576,depend,NVIDIA GeForce RTX 3090 0
task22,Kernel,1.9459,2.02619,0.080292,1048576,depend,NVIDIA GeForce RTX 3090 0
task21,Kernel,2.0262,2.10658,0.0803812,1048576,depend,NVIDIA GeForce RTX 3090 0
task23,Kernel,2.10658,2.18692,0.0803323,1048576,depend,NVIDIA GeForce RTX 3090 0
task30,Kernel,2.18692,2.26725,0.0803237,1048576,depend,NVIDIA GeForce RTX 3090 0
task29,Kernel,2.26726,2.34759,0.0803308,1048576,depend,NVIDIA GeForce RTX 3090 0
task34,Kernel,2.3476,2.428,0.0804048,1048576,depend,NVIDIA GeForce RTX 3090 0
task41,Kernel,2.42801,2.50827,0.0802546,1048576,depend,NVIDIA GeForce RTX 3090 0
task38,Kernel,2.50828,2.58867,0.0803957,1048576,depend,NVIDIA GeForce RTX 3090 0
task33,Kernel,2.58868,2.66902,0.0803394,1048576,depend,NVIDIA GeForce RTX 3090 0
task39,Kernel,2.66902,2.74938,0.0803511,1048576,depend,NVIDIA GeForce RTX 3090 0
task25,Kernel,2.74938,2.82974,0.0803621,1048576,depend,NVIDIA GeForce RTX 3090 0
task32,Kernel,2.82975,2.91014,0.0803847,1048576,depend,NVIDIA GeForce RTX 3090 0
task28,Kernel,2.91014,2.99041,0.0802643,1048576,depend,NVIDIA GeForce RTX 3090 0
task36,Kernel,2.99041,3.0708,0.080389,1048576,depend,NVIDIA GeForce RTX 3090 0
task31,Kernel,3.07081,3.15117,0.0803573,1048576,depend,NVIDIA GeForce RTX 3090 0
task46,Kernel,3.15117,3.23152,0.080343,1048576,depend,NVIDIA GeForce RTX 3090 0
task42,Kernel,3.23152,3.31182,0.0802932,1048576,depend,NVIDIA GeForce RTX 3090 0
task45,Kernel,3.31182,3.39217,0.0803432,1048576,depend,NVIDIA GeForce RTX 3090 0
task51,Kernel,3.39217,3.47245,0.0802772,1048576,depend,NVIDIA GeForce RTX 3090 0
task35,Kernel,3.47246,3.55272,0.0802648,1048576,depend,NVIDIA GeForce RTX 3090 0
task43,Kernel,3.55273,3.6331,0.080373,1048576,depend,NVIDIA GeForce RTX 3090 0
task47,Kernel,3.63311,3.71347,0.0803621,1048576,depend,NVIDIA GeForce RTX 3090 0
task37,Kernel,3.71348,3.79387,0.0803857,1048576,depend,NVIDIA GeForce RTX 3090 0
task44,Kernel,3.79387,3.87419,0.0803211,1048576,depend,NVIDIA GeForce RTX 3090 0
task48,Kernel,3.8742,3.95446,0.0802627,1048576,depend,NVIDIA GeForce RTX 3090 0
