taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00511217,0.00588822,0.000776052,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00594306,0.00652003,0.000576973,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00652814,0.00707245,0.00054431,0,ftf,NVIDIA GeForce RTX 3090 0
task0,Kernel,0.00707984,0.0906484,0.0835686,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.090709,0.0912762,0.000567198,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.091285,0.0918303,0.000545263,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0918372,0.0923772,0.000540018,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-1,MemFlushOut,0.090719,0.100029,0.00930953,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task2)-to-1,MemFlushOut,0.100065,0.100794,0.00072813,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task2)-to-1,MemFlushOut,0.100805,0.101524,0.000719547,0,ftf,AMD Radeon RX 6900 XT 1
task1,Kernel,0.0923841,0.174531,0.0821464,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.174542,0.175097,0.0005548,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.175104,0.17564,0.000536203,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.175647,0.176183,0.000536442,0,ftf,NVIDIA GeForce RTX 3090 0
task3,Kernel,0.176191,0.256227,0.0800366,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.256238,0.256859,0.000621319,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.256868,0.257408,0.000540495,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.257415,0.257961,0.000546217,0,ftf,NVIDIA GeForce RTX 3090 0
task4,Kernel,0.257967,0.337991,0.0800235,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.338001,0.338552,0.000551701,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.33856,0.339134,0.000573874,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.339141,0.339697,0.000555515,0,ftf,NVIDIA GeForce RTX 3090 0
task5,Kernel,0.339704,0.419672,0.0799675,1048576,ftf,NVIDIA GeForce RTX 3090 0
task6,Kernel,0.419684,0.499664,0.0799804,1048576,ftf,NVIDIA GeForce RTX 3090 0
task16,Kernel,0.499673,0.579657,0.0799839,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task8)-to-0,MemFlushOut,0.579664,0.580245,0.000581264,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task8)-to-0,MemFlushOut,0.580255,0.580798,0.000542641,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task8)-to-0,MemFlushOut,0.580805,0.581371,0.000566006,0,ftf,NVIDIA GeForce RTX 3090 0
task8,Kernel,0.581378,0.661581,0.0802023,1048576,ftf,NVIDIA GeForce RTX 3090 0
task10,Kernel,0.661591,0.741852,0.080261,1048576,ftf,NVIDIA GeForce RTX 3090 0
task2,Kernel,0.101536,0.762815,0.66128,1048576,ftf,AMD Radeon RX 6900 XT 1
task12,Kernel,0.741859,0.822234,0.0803752,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task19)-from-0-to-1,MemFlushOut,0.762833,0.823707,0.0608737,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task19)-to-1,MemFlushOut,0.823719,0.824513,0.000794411,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task19)-to-1,MemFlushOut,0.824519,0.825205,0.000686169,0,ftf,AMD Radeon RX 6900 XT 1
task20,Kernel,0.822242,0.903274,0.081032,1048576,ftf,NVIDIA GeForce RTX 3090 0
task9,Kernel,0.903283,0.983631,0.0803485,1048576,ftf,NVIDIA GeForce RTX 3090 0
task11,Kernel,0.983638,1.06393,0.0802922,1048576,ftf,NVIDIA GeForce RTX 3090 0
task17,Kernel,1.06394,1.14434,0.0804071,1048576,ftf,NVIDIA GeForce RTX 3090 0
task7,Kernel,1.14435,1.22477,0.0804203,1048576,ftf,NVIDIA GeForce RTX 3090 0
task19,Kernel,0.825211,1.48959,0.664378,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task13)-from-1-to-0,MemFlushOut,1.22478,1.49012,0.265341,0,ftf,NVIDIA GeForce RTX 3090 0
task13,Kernel,1.49013,1.57054,0.0804164,1048576,ftf,NVIDIA GeForce RTX 3090 0
task14,Kernel,1.57055,1.65098,0.0804245,1048576,ftf,NVIDIA GeForce RTX 3090 0
task22,Kernel,1.65098,1.73133,0.0803475,1048576,ftf,NVIDIA GeForce RTX 3090 0
task18,Kernel,1.73135,1.81167,0.080322,1048576,ftf,NVIDIA GeForce RTX 3090 0
task26,Kernel,1.81167,1.89205,0.0803707,1048576,ftf,NVIDIA GeForce RTX 3090 0
task15,Kernel,1.48963,2.14446,0.654837,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task30)-from-1-to-0,MemFlushOut,1.89205,2.14499,0.252936,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task33)-from-0-to-1,MemFlushOut,2.14448,2.14633,0.00185227,0,ftf,AMD Radeon RX 6900 XT 1
task30,Kernel,2.145,2.22607,0.0810733,1048576,ftf,NVIDIA GeForce RTX 3090 0
task39,Kernel,2.22608,2.30639,0.0803134,1048576,ftf,NVIDIA GeForce RTX 3090 0
task24,Kernel,2.3064,2.38676,0.0803664,1048576,ftf,NVIDIA GeForce RTX 3090 0
task27,Kernel,2.38677,2.46707,0.0803034,1048576,ftf,NVIDIA GeForce RTX 3090 0
task21,Kernel,2.46708,2.54744,0.0803535,1048576,ftf,NVIDIA GeForce RTX 3090 0
task23,Kernel,2.54744,2.62779,0.0803435,1048576,ftf,NVIDIA GeForce RTX 3090 0
task29,Kernel,2.62779,2.70816,0.0803704,1048576,ftf,NVIDIA GeForce RTX 3090 0
task34,Kernel,2.70817,2.78843,0.0802643,1048576,ftf,NVIDIA GeForce RTX 3090 0
task33,Kernel,2.14634,2.79736,0.651019,1048576,ftf,AMD Radeon RX 6900 XT 1
task41,Kernel,2.78844,2.86881,0.0803685,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task38)-from-0-to-1,MemFlushOut,2.79738,2.87159,0.0742147,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task38)-to-1,MemFlushOut,2.8716,2.87229,0.000692368,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task38)-to-1,MemFlushOut,2.8723,2.87299,0.000689983,0,ftf,AMD Radeon RX 6900 XT 1
task25,Kernel,2.86882,2.94987,0.0810547,1048576,ftf,NVIDIA GeForce RTX 3090 0
task32,Kernel,2.94988,3.03019,0.0803125,1048576,ftf,NVIDIA GeForce RTX 3090 0
task28,Kernel,3.0302,3.11053,0.0803313,1048576,ftf,NVIDIA GeForce RTX 3090 0
task36,Kernel,3.11054,3.19074,0.0802011,1048576,ftf,NVIDIA GeForce RTX 3090 0
task31,Kernel,3.19074,3.27112,0.0803769,1048576,ftf,NVIDIA GeForce RTX 3090 0
task46,Kernel,3.27113,3.35139,0.0802591,1048576,ftf,NVIDIA GeForce RTX 3090 0
task38,Kernel,2.873,3.53786,0.66486,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task42)-from-1-to-0,MemFlushOut,3.3514,3.53838,0.186988,0,ftf,NVIDIA GeForce RTX 3090 0
task42,Kernel,3.53839,3.6188,0.0804133,1048576,ftf,NVIDIA GeForce RTX 3090 0
task35,Kernel,3.61881,3.69916,0.080348,1048576,ftf,NVIDIA GeForce RTX 3090 0
task51,Kernel,3.53789,4.18396,0.646071,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task43)-from-1-to-0,MemFlushOut,3.69917,4.1845,0.485336,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task47)-from-0-to-1,MemFlushOut,4.18398,4.18599,0.00201058,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task47)-to-1,MemFlushOut,4.186,4.18653,0.000529766,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task47)-to-1,MemFlushOut,4.18653,4.18693,0.000397444,0,ftf,AMD Radeon RX 6900 XT 1
task43,Kernel,4.18451,4.2656,0.0810864,1048576,ftf,NVIDIA GeForce RTX 3090 0
task37,Kernel,4.26561,4.34591,0.0803013,1048576,ftf,NVIDIA GeForce RTX 3090 0
task47,Kernel,4.18694,4.84097,0.654032,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task44)-from-1-to-0,MemFlushOut,4.34591,4.84152,0.495602,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task48)-from-0-to-1,MemFlushOut,4.84098,4.84294,0.00195861,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task48)-to-1,MemFlushOut,4.84295,4.84347,0.000525713,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task48)-to-1,MemFlushOut,4.84348,4.84388,0.000401497,0,ftf,AMD Radeon RX 6900 XT 1
task44,Kernel,4.84152,4.92265,0.0811255,1048576,ftf,NVIDIA GeForce RTX 3090 0
task50,Kernel,4.92266,5.00305,0.0803878,1048576,ftf,NVIDIA GeForce RTX 3090 0
task45,Kernel,5.00306,5.08345,0.0803945,1048576,ftf,NVIDIA GeForce RTX 3090 0
task40,Kernel,5.08346,5.16369,0.0802369,1048576,ftf,NVIDIA GeForce RTX 3090 0
task54,Kernel,5.1637,5.24413,0.0804272,1048576,ftf,NVIDIA GeForce RTX 3090 0
task48,Kernel,4.84389,5.50078,0.656889,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task52)-from-1-to-0,MemFlushOut,5.24414,5.50131,0.257175,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task49)-from-0-to-1,MemFlushOut,5.50079,5.50263,0.00184274,0,ftf,AMD Radeon RX 6900 XT 1
task52,Kernel,5.50132,5.58252,0.0812008,1048576,ftf,NVIDIA GeForce RTX 3090 0
task55,Kernel,5.58253,5.66282,0.0802898,1048576,ftf,NVIDIA GeForce RTX 3090 0
task60,Kernel,5.66282,5.7432,0.0803735,1048576,ftf,NVIDIA GeForce RTX 3090 0
task58,Kernel,5.74321,5.82352,0.080318,1048576,ftf,NVIDIA GeForce RTX 3090 0
task49,Kernel,5.50265,6.1534,0.650754,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task56)-from-1-to-0,MemFlushOut,5.82353,6.15393,0.330401,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task61)-from-0-to-1,MemFlushOut,6.15342,6.15523,0.00181699,0,ftf,AMD Radeon RX 6900 XT 1
task56,Kernel,6.15394,6.23509,0.0811508,1048576,ftf,NVIDIA GeForce RTX 3090 0
task53,Kernel,6.2351,6.31538,0.0802815,1048576,ftf,NVIDIA GeForce RTX 3090 0
task59,Kernel,6.31539,6.39573,0.0803423,1048576,ftf,NVIDIA GeForce RTX 3090 0
task61,Kernel,6.15524,6.80689,0.651655,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task57)-from-1-to-0,MemFlushOut,6.39574,6.80743,0.411699,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task63)-from-0-to-1,MemFlushOut,6.80691,6.80874,0.00183129,0,ftf,AMD Radeon RX 6900 XT 1
task57,Kernel,6.80744,6.88853,0.081084,1048576,ftf,NVIDIA GeForce RTX 3090 0
task64,Kernel,6.88853,6.96883,0.0802968,1048576,ftf,NVIDIA GeForce RTX 3090 0
task65,Kernel,6.96884,7.04921,0.0803745,1048576,ftf,NVIDIA GeForce RTX 3090 0
task69,Kernel,7.04922,7.12952,0.080296,1048576,ftf,NVIDIA GeForce RTX 3090 0
task62,Kernel,7.12952,7.20993,0.0804036,1048576,ftf,NVIDIA GeForce RTX 3090 0
task71,Kernel,7.20993,7.29021,0.0802755,1048576,ftf,NVIDIA GeForce RTX 3090 0
task63,Kernel,6.80874,7.46516,0.656422,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task80)-from-1-to-0,MemFlushOut,7.29022,7.4657,0.17548,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task66)-from-0-to-1,MemFlushOut,7.46518,7.46701,0.00182724,0,ftf,AMD Radeon RX 6900 XT 1
task80,Kernel,7.4657,7.54686,0.0811543,1048576,ftf,NVIDIA GeForce RTX 3090 0
task72,Kernel,7.54687,7.62718,0.0803118,1048576,ftf,NVIDIA GeForce RTX 3090 0
task78,Kernel,7.62719,7.70755,0.0803599,1048576,ftf,NVIDIA GeForce RTX 3090 0
task68,Kernel,7.70755,7.78788,0.0803246,1048576,ftf,NVIDIA GeForce RTX 3090 0
task77,Kernel,7.78788,7.8682,0.0803187,1048576,ftf,NVIDIA GeForce RTX 3090 0
task88,Kernel,7.86821,7.94853,0.0803165,1048576,ftf,NVIDIA GeForce RTX 3090 0
task73,Kernel,7.94853,8.02878,0.0802448,1048576,ftf,NVIDIA GeForce RTX 3090 0
task70,Kernel,8.02879,8.10918,0.0803912,1048576,ftf,NVIDIA GeForce RTX 3090 0
task66,Kernel,7.46701,8.12297,0.655961,1048576,ftf,AMD Radeon RX 6900 XT 1
task75,Kernel,8.10918,8.18947,0.0802836,1048576,ftf,NVIDIA GeForce RTX 3090 0
task76,Kernel,8.18948,8.26981,0.0803337,1048576,ftf,NVIDIA GeForce RTX 3090 0
task67,Kernel,8.26982,8.35015,0.0803368,1048576,ftf,NVIDIA GeForce RTX 3090 0
task82,Kernel,8.12299,8.76904,0.646049,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task89)-from-0-to-1,MemFlushOut,8.76905,8.77094,0.00188804,0,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task86)-from-1-to-0,MemFlushOut,8.35016,8.77101,0.420847,0,ftf,NVIDIA GeForce RTX 3090 0
Internal-H2D(task89)-to-1,MemFlushOut,8.77094,8.77147,0.00052309,0,ftf,AMD Radeon RX 6900 XT 1
Internal-H2D(task89)-to-1,MemFlushOut,8.77147,8.77199,0.000519991,0,ftf,AMD Radeon RX 6900 XT 1
task86,Kernel,8.77102,8.85141,0.0803916,1048576,ftf,NVIDIA GeForce RTX 3090 0
task74,Kernel,8.85143,8.93177,0.0803404,1048576,ftf,NVIDIA GeForce RTX 3090 0
task79,Kernel,8.93178,9.01218,0.0803998,1048576,ftf,NVIDIA GeForce RTX 3090 0
task81,Kernel,9.01219,9.09258,0.080394,1048576,ftf,NVIDIA GeForce RTX 3090 0
task83,Kernel,9.09259,9.17281,0.0802202,1048576,ftf,NVIDIA GeForce RTX 3090 0
task85,Kernel,9.17282,9.25315,0.0803347,1048576,ftf,NVIDIA GeForce RTX 3090 0
task90,Kernel,9.25316,9.33341,0.080246,1048576,ftf,NVIDIA GeForce RTX 3090 0
task97,Kernel,9.33341,9.41368,0.080266,1048576,ftf,NVIDIA GeForce RTX 3090 0
task89,Kernel,8.772,9.42044,0.648447,1048576,ftf,AMD Radeon RX 6900 XT 1
task92,Kernel,9.41369,9.49405,0.0803618,1048576,ftf,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task84)-from-0-to-1,MemFlushOut,9.42046,9.49698,0.0765178,0,ftf,AMD Radeon RX 6900 XT 1
task91,Kernel,9.49406,9.57556,0.0815053,1048576,ftf,NVIDIA GeForce RTX 3090 0
task84,Kernel,9.49699,10.1584,0.661424,1048576,ftf,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task87)-from-1-to-0,MemFlushOut,9.57558,10.159,0.583401,0,ftf,NVIDIA GeForce RTX 3090 0
task87,Kernel,10.159,10.2393,0.0802662,1048576,ftf,NVIDIA GeForce RTX 3090 0
task94,Kernel,10.1584,10.8132,0.654788,1048576,ftf,AMD Radeon RX 6900 XT 1
