taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00504136,0.00589776,0.0008564,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00596285,0.00655675,0.000593901,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00656652,0.00712276,0.000556231,0,profile,NVIDIA GeForce RTX 3090 0
task0,Kernel,0.00713253,0.0907533,0.0836208,1048576,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0908029,0.0913424,0.000539541,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0913503,0.0918834,0.000533104,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0918903,0.092418,0.00052762,0,profile,NVIDIA GeForce RTX 3090 0
task1,Kernel,0.0924246,0.174162,0.0817378,1048576,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.174177,0.174721,0.000544548,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.174729,0.175256,0.000526905,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.175262,0.175783,0.000520468,0,profile,NVIDIA GeForce RTX 3090 0
task2,Kernel,0.175789,0.256066,0.080277,1048576,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.256075,0.256652,0.000576496,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.25666,0.257194,0.000534058,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.2572,0.257727,0.000526905,0,profile,NVIDIA GeForce RTX 3090 0
task3,Kernel,0.257733,0.338144,0.0804112,1048576,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.338163,0.3388,0.000636339,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.338812,0.339384,0.000571966,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.339391,0.339934,0.000542879,0,profile,NVIDIA GeForce RTX 3090 0
task4,Kernel,0.339941,0.420256,0.0803158,1048576,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.420267,0.420808,0.00054121,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.420817,0.421342,0.000525475,0,profile,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.421348,0.421892,0.000544071,0,profile,NVIDIA GeForce RTX 3090 0
task5,Kernel,0.421899,0.50231,0.080411,1048576,profile,NVIDIA GeForce RTX 3090 0
task6,Kernel,0.502327,0.582671,0.0803432,1048576,profile,NVIDIA GeForce RTX 3090 0
task16,Kernel,0.582682,0.663018,0.0803363,1048576,profile,NVIDIA GeForce RTX 3090 0
task7,Kernel,0.663026,0.743386,0.0803604,1048576,profile,NVIDIA GeForce RTX 3090 0
task8,Kernel,0.743396,0.823662,0.0802653,1048576,profile,NVIDIA GeForce RTX 3090 0
task10,Kernel,0.823672,0.90401,0.0803378,1048576,profile,NVIDIA GeForce RTX 3090 0
task12,Kernel,0.904021,0.984285,0.0802643,1048576,profile,NVIDIA GeForce RTX 3090 0
task19,Kernel,0.984294,1.06464,0.0803442,1048576,profile,NVIDIA GeForce RTX 3090 0
task20,Kernel,1.06465,1.14503,0.0803869,1048576,profile,NVIDIA GeForce RTX 3090 0
task9,Kernel,1.14504,1.2254,0.0803611,1048576,profile,NVIDIA GeForce RTX 3090 0
task11,Kernel,1.22541,1.30583,0.080426,1048576,profile,NVIDIA GeForce RTX 3090 0
task13,Kernel,1.30584,1.38656,0.0807216,1048576,profile,NVIDIA GeForce RTX 3090 0
task18,Kernel,1.38657,1.46739,0.0808256,1048576,profile,NVIDIA GeForce RTX 3090 0
