taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.0048728,0.00565028,0.000777483,0,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00571203,0.0063026,0.000590563,0,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.0063169,0.00685287,0.000535965,0,random,NVIDIA GeForce RTX 3090 0
task0,Kernel,0.0068593,0.0904105,0.0835512,1048576,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.0904715,0.0910423,0.000570774,0,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.0910509,0.0915909,0.000540018,0,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.0915973,0.0921366,0.000539303,0,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-1,MemFlushOut,0.0904784,0.0951028,0.00462437,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task1)-to-1,MemFlushOut,0.0951302,0.0956883,0.000558138,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task1)-to-1,MemFlushOut,0.0956972,0.0962501,0.000552893,0,random,AMD Radeon RX 6900 XT 1
task2,Kernel,0.0921426,0.175836,0.0836933,1048576,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.175846,0.1764,0.000553608,0,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.176407,0.176952,0.000545263,0,random,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.176959,0.17751,0.000550985,0,random,NVIDIA GeForce RTX 3090 0
task5,Kernel,0.177516,0.25975,0.0822344,1048576,random,NVIDIA GeForce RTX 3090 0
task19,Kernel,0.259808,0.340128,0.0803199,1048576,random,NVIDIA GeForce RTX 3090 0
task1,Kernel,0.0962586,0.745708,0.649449,1048576,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task3)-to-1,MemFlushOut,0.745721,0.746275,0.000554085,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task3)-to-1,MemFlushOut,0.746281,0.746836,0.0005548,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task3)-to-1,MemFlushOut,0.746842,0.747387,0.00054574,0,random,AMD Radeon RX 6900 XT 1
task3,Kernel,0.747393,1.40518,0.657784,1048576,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task4)-to-1,MemFlushOut,1.40519,1.40576,0.000569105,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task4)-to-1,MemFlushOut,1.40577,1.40631,0.000548363,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task4)-to-1,MemFlushOut,1.40632,1.40685,0.000525475,0,random,AMD Radeon RX 6900 XT 1
task4,Kernel,1.40685,2.06941,0.662558,1048576,random,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task6)-from-0-to-1,MemFlushOut,2.06942,2.07076,0.00133991,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task6)-to-1,MemFlushOut,2.07077,2.07132,0.00054574,0,random,AMD Radeon RX 6900 XT 1
Internal-H2D(task6)-to-1,MemFlushOut,2.07132,2.07186,0.000540018,0,random,AMD Radeon RX 6900 XT 1
task8,Kernel,2.07027,2.15066,0.080389,1048576,random,NVIDIA GeForce RTX 3090 0
task6,Kernel,2.07187,2.72642,0.654555,1048576,random,AMD Radeon RX 6900 XT 1
