taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00531816,0.00611925,0.000801086,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00618076,0.00675726,0.000576496,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00676465,0.00730801,0.000543356,0,roundrobin,NVIDIA GeForce RTX 3090 0
task0,Kernel,0.00731468,0.0904469,0.0831323,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.0905259,0.0910747,0.00054884,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.0910823,0.0916464,0.000564098,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-0,MemFlushOut,0.0916529,0.0922124,0.000559568,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-1,MemFlushOut,0.0905285,0.0994105,0.00888205,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task1)-to-1,MemFlushOut,0.0994377,0.100118,0.00067997,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task1)-to-1,MemFlushOut,0.100125,0.100819,0.000694513,0,roundrobin,AMD Radeon RX 6900 XT 1
task2,Kernel,0.0922189,0.17413,0.0819111,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.174143,0.174734,0.000590801,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.174742,0.175298,0.000556231,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task4)-to-0,MemFlushOut,0.175305,0.175839,0.000534773,0,roundrobin,NVIDIA GeForce RTX 3090 0
task4,Kernel,0.175845,0.255465,0.0796192,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task6,Kernel,0.255473,0.335151,0.0796783,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task7)-to-0,MemFlushOut,0.33516,0.335762,0.000602007,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task7)-to-0,MemFlushOut,0.33577,0.336309,0.000538826,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task7)-to-0,MemFlushOut,0.336315,0.336857,0.000541687,0,roundrobin,NVIDIA GeForce RTX 3090 0
task7,Kernel,0.336863,0.416684,0.0798218,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task9,Kernel,0.416694,0.496778,0.0800838,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task13,Kernel,0.496785,0.576883,0.0800974,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task14,Kernel,0.57689,0.656958,0.0800679,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task1,Kernel,0.100825,0.74682,0.645995,1048576,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task3)-to-1,MemFlushOut,0.746836,0.747381,0.000545025,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task3)-to-1,MemFlushOut,0.747389,0.74799,0.000600815,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task3)-to-1,MemFlushOut,0.747996,0.748518,0.000521898,0,roundrobin,AMD Radeon RX 6900 XT 1
task3,Kernel,0.748523,1.3982,0.649672,1048576,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task5)-to-1,MemFlushOut,1.39823,1.39901,0.000780821,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task5)-to-1,MemFlushOut,1.39902,1.39961,0.000588894,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task5)-to-1,MemFlushOut,1.39961,1.40022,0.000609398,0,roundrobin,AMD Radeon RX 6900 XT 1
task5,Kernel,1.40023,2.05509,0.654866,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task16,Kernel,2.0551,2.70288,0.647782,1048576,roundrobin,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task8)-from-0-to-1,MemFlushOut,2.70289,2.7046,0.00170541,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task10)-from-1-to-0,MemFlushOut,2.05517,2.7052,0.650029,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task8)-to-1,MemFlushOut,2.70461,2.70546,0.000852823,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task10)-to-0,MemFlushOut,2.70523,2.70619,0.000961304,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-H2D(task8)-to-1,MemFlushOut,2.70547,2.70672,0.00125909,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task10)-to-0,MemFlushOut,2.70621,2.70708,0.000871897,0,roundrobin,NVIDIA GeForce RTX 3090 0
task10,Kernel,2.70709,2.79058,0.0834918,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task19,Kernel,2.7906,2.87407,0.0834715,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task17,Kernel,2.87408,2.95677,0.0826972,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task8,Kernel,2.70673,3.35684,0.650108,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task11,Kernel,3.35685,3.99756,0.640708,1048576,roundrobin,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task18)-from-0-to-1,MemFlushOut,3.99757,3.99895,0.00138545,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task18)-to-1,MemFlushOut,3.99896,3.99951,0.000548363,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task18)-to-1,MemFlushOut,3.99952,4.00001,0.000488758,0,roundrobin,AMD Radeon RX 6900 XT 1
task18,Kernel,4.00001,4.65531,0.655301,1048576,roundrobin,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task30)-from-0-to-1,MemFlushOut,4.65532,4.65656,0.00124264,0,roundrobin,AMD Radeon RX 6900 XT 1
task30,Kernel,4.65657,5.3096,0.653026,1048576,roundrobin,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task24)-from-1-to-0,MemFlushOut,4.65611,5.31015,0.654035,0,roundrobin,NVIDIA GeForce RTX 3090 0
Internal-D2H-H2D(task12)-from-0-to-1,MemFlushOut,5.30961,5.31155,0.00193596,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task12)-to-1,MemFlushOut,5.31156,5.3121,0.000546217,0,roundrobin,AMD Radeon RX 6900 XT 1
Internal-H2D(task12)-to-1,MemFlushOut,5.31211,5.31255,0.000446558,0,roundrobin,AMD Radeon RX 6900 XT 1
task24,Kernel,5.31016,5.39448,0.0843153,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task29,Kernel,5.39453,5.47815,0.0836163,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task12,Kernel,5.31256,5.96058,0.648021,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task20,Kernel,5.96059,6.60629,0.645698,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task22,Kernel,6.6063,7.25686,0.650566,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task27,Kernel,7.25689,7.90612,0.649235,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task41,Kernel,7.90613,8.55053,0.644402,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task26,Kernel,8.55054,9.20405,0.653503,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task39,Kernel,9.20406,9.85879,0.654734,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task46,Kernel,9.8588,10.5141,0.655286,1048576,roundrobin,AMD Radeon RX 6900 XT 1
Internal-D2H-H2D(task15)-from-1-to-0,MemFlushOut,5.96065,10.5159,4.55526,0,roundrobin,NVIDIA GeForce RTX 3090 0
task15,Kernel,10.5159,10.5995,0.0835185,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task33,Kernel,10.5995,10.683,0.0835631,1048576,roundrobin,NVIDIA GeForce RTX 3090 0
task21,Kernel,10.5995,11.2564,0.656921,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task34,Kernel,11.2564,11.9014,0.644928,1048576,roundrobin,AMD Radeon RX 6900 XT 1
task25,Kernel,11.9014,12.5458,0.644413,1048576,roundrobin,AMD Radeon RX 6900 XT 1
