taskname,type,start,end,duration,size,policy,acclname
Internal-H2D(task0)-to-0,MemFlushOut,0.00495625,0.00571227,0.000756025,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00576782,0.00631595,0.000548124,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task0)-to-0,MemFlushOut,0.00632501,0.00687599,0.000550985,0,sdq,NVIDIA GeForce RTX 3090 0
task0,Kernel,0.00688839,0.0904579,0.0835695,1048576,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0905118,0.0910618,0.000550032,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0910699,0.0916028,0.000532866,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task1)-to-0,MemFlushOut,0.0916092,0.0921235,0.000514269,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task2)-to-1,MemFlushOut,0.0905542,0.0983889,0.00783467,0,sdq,AMD Radeon RX 6900 XT 1
Internal-H2D(task2)-to-1,MemFlushOut,0.098419,0.099129,0.000710011,0,sdq,AMD Radeon RX 6900 XT 1
Internal-H2D(task2)-to-1,MemFlushOut,0.0991352,0.0998263,0.000691175,0,sdq,AMD Radeon RX 6900 XT 1
task1,Kernel,0.0921302,0.173925,0.0817947,1048576,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.173935,0.174472,0.000536919,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.174479,0.175013,0.000534058,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task3)-to-0,MemFlushOut,0.17502,0.175547,0.000526428,0,sdq,NVIDIA GeForce RTX 3090 0
task3,Kernel,0.175553,0.25596,0.0804074,1048576,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.255974,0.256561,0.000587225,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.256569,0.257103,0.000533581,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task5)-to-0,MemFlushOut,0.25711,0.257668,0.000557899,0,sdq,NVIDIA GeForce RTX 3090 0
task5,Kernel,0.257674,0.338223,0.0805485,1048576,sdq,NVIDIA GeForce RTX 3090 0
task16,Kernel,0.338232,0.418603,0.0803707,1048576,sdq,NVIDIA GeForce RTX 3090 0
task10,Kernel,0.418611,0.499084,0.0804732,1048576,sdq,NVIDIA GeForce RTX 3090 0
task19,Kernel,0.499091,0.57958,0.0804894,1048576,sdq,NVIDIA GeForce RTX 3090 0
task20,Kernel,0.579587,0.659999,0.0804114,1048576,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task17)-to-0,MemFlushOut,0.660006,0.660549,0.000543833,0,sdq,NVIDIA GeForce RTX 3090 0
Internal-H2D(task17)-to-0,MemFlushOut,0.660558,0.661117,0.000559092,0,sdq,NVIDIA GeForce RTX 3090 0
